multistart,objective value,elapsed time
1,-2.040e-14,9.454e-02
2,-1.387e-14,7.334e-02
3,-3.686e-14,9.030e-02
4,-7.866e-17,9.251e-02
5,-4.033e-14,1.380e-01
6,-4.889e-14,8.355e-02
7,-4.393e-14,8.025e-02
8,-3.334e-14,9.156e-02
9,-3.092e-14,8.962e-02
10,-3.280e-14,9.265e-02
11,-3.612e-13,7.949e-02
12,-3.611e-13,1.015e-01
13,-3.465e-14,9.426e-02
14,-3.876e-14,9.332e-02
15,-5.113e-14,1.127e-01
16,-1.411e-14,1.005e-01
17,-5.507e-14,9.100e-02
18,-2.043e-14,8.568e-02
19,-4.898e-14,8.192e-02
20,-5.452e-14,8.730e-02
21,-3.907e-14,8.832e-02
22,-5.057e-14,1.124e-01
23,-5.582e-14,1.052e-01
24,-5.295e-14,1.075e-01
25,-2.770e-13,1.037e-01
26,-4.676e-14,9.960e-02
27,-3.612e-13,1.185e-01
28,-1.761e-14,7.291e-02
29,-4.131e-14,1.245e-01
30,-3.611e-13,9.781e-02
31,-5.553e-14,8.313e-02
32,-2.058e-17,7.828e-02
33,-4.310e-14,1.170e-01
34,-3.738e-14,8.710e-02
35,-1.198e-14,8.032e-02
36,-4.587e-14,9.038e-02
37,-1.961e-14,9.862e-02
38,-2.770e-13,9.746e-02
39,-5.728e-17,9.516e-02
40,-1.890e-14,7.827e-02
41,-5.140e-14,8.702e-02
42,-3.143e-14,7.960e-02
43,-1.169e-14,1.137e-01
44,-5.237e-14,1.084e-01
45,-1.086e-14,8.691e-02
46,-3.611e-13,1.227e-01
47,-7.211e-16,9.625e-02
48,-5.537e-14,7.525e-02
49,-5.094e-14,1.031e-01
50,-2.770e-13,1.310e-01
51,-5.124e-14,1.054e-01
52,-4.866e-14,1.163e-01
53,-1.007e-15,9.512e-02
54,-4.796e-14,1.083e-01
55,-2.145e-17,9.167e-02
56,-5.080e-14,1.169e-01
57,-1.688e-14,8.663e-02
58,-3.438e-14,9.666e-02
59,-1.267e-14,1.005e-01
60,-1.918e-14,1.007e-01
61,-5.282e-14,1.352e-01
62,-5.141e-14,7.960e-02
63,-2.094e-14,8.782e-02
64,-5.272e-14,1.209e-01
65,-1.074e-16,9.282e-02
66,-5.077e-14,1.133e-01
67,-1.100e-16,8.159e-02
68,-1.131e-15,1.059e-01
69,-1.696e-14,1.063e-01
70,-3.612e-13,9.074e-02
71,-5.239e-14,1.129e-01
72,-3.611e-13,7.881e-02
73,-5.109e-16,1.180e-01
