multistart,objective value,elapsed time
1,-2.876e-13,4.014e-01
2,-2.876e-13,3.466e-01
3,-2.876e-13,2.808e-01
4,-2.876e-13,3.210e-01
5,-2.876e-13,3.004e-01
6,-2.876e-13,3.161e-01
7,-2.876e-13,5.382e-01
8,-2.876e-13,3.968e-01
9,-2.876e-13,3.271e-01
10,-2.876e-13,2.569e-01
11,-2.876e-13,2.534e-01
12,-2.876e-13,2.946e-01
13,-2.876e-13,3.700e-01
14,-2.876e-13,2.875e-01
15,-2.876e-13,3.405e-01
16,-2.876e-13,3.178e-01
17,-2.876e-13,3.363e-01
18,-2.876e-13,3.548e-01
19,-2.876e-13,3.174e-01
20,-2.876e-13,9.837e+00
21,-2.876e-13,2.330e-01
22,-2.876e-13,3.409e-01
23,-2.876e-13,1.936e-01
24,-2.876e-13,2.981e-01
25,-2.876e-13,2.070e-01
26,-2.876e-13,2.755e-01
27,-2.876e-13,2.726e-01
28,-2.876e-13,3.229e-01
29,-2.876e-13,2.646e-01
30,-2.876e-13,2.784e-01
31,-2.876e-13,1.895e-01
32,-2.876e-13,3.968e-01
33,-2.876e-13,3.087e-01
34,-2.876e-13,2.796e-01
35,-2.876e-13,3.060e-01
36,-2.876e-13,2.897e-01
37,-2.876e-13,2.371e-01
38,-2.876e-13,2.274e-01
39,-2.876e-13,4.727e-01
40,-2.876e-13,6.213e-01
41,-2.876e-13,2.625e-01
42,-2.876e-13,3.945e-01
43,-2.876e-13,9.046e+00
44,-2.876e-13,2.995e-01
45,-2.876e-13,2.815e-01
46,-2.876e-13,2.794e-01
47,-2.876e-13,2.481e-01
48,-2.876e-13,5.588e-01
49,-2.876e-13,2.797e-01
50,-2.876e-13,1.862e-01
51,-2.876e-13,3.568e-01
52,-2.876e-13,2.871e-01
53,-2.876e-13,2.657e-01
54,-2.876e-13,2.605e-01
55,-2.876e-13,3.024e-01
56,-2.876e-13,3.546e-01
57,-2.876e-13,2.523e-01
58,-2.876e-13,2.474e-01
59,-2.876e-13,8.007e+00
60,-2.876e-13,3.390e-01
61,-2.876e-13,3.709e-01
62,-2.876e-13,2.985e-01
63,-2.876e-13,2.411e-01
64,-2.876e-13,3.275e-01
65,-2.876e-13,4.899e-01
66,-2.876e-13,2.886e-01
67,-2.876e-13,2.538e-01
68,-2.876e-13,2.564e-01
69,-2.876e-13,2.496e-01
70,-2.876e-13,3.285e-01
71,-2.876e-13,3.791e-01
72,-2.876e-13,3.584e-01
73,-2.876e-13,2.594e-01
74,-2.876e-13,2.766e-01
75,-2.876e-13,4.433e-01
76,-2.876e-13,2.149e-01
77,-2.876e-13,2.756e-01
78,-2.876e-13,2.833e-01
79,-2.876e-13,2.508e-01
80,-2.876e-13,3.113e-01
81,-2.876e-13,4.311e-01
82,-2.876e-13,3.459e-01
83,-2.876e-13,3.127e-01
84,-2.876e-13,2.918e-01
85,-2.876e-13,3.560e-01
86,-2.876e-13,3.361e-01
87,-2.876e-13,6.095e-01
88,-2.876e-13,2.335e-01
89,-2.876e-13,1.871e-01
90,-2.876e-13,2.523e-01
91,-2.876e-13,3.795e-01
92,-2.876e-13,3.415e-01
93,-2.876e-13,3.227e-01
94,-2.876e-13,6.203e-01
95,-2.876e-13,2.521e-01
96,-2.876e-13,2.955e-01
97,-2.876e-13,6.771e-01
98,-2.876e-13,3.290e-01
99,-2.876e-13,2.602e-01
100,-2.876e-13,2.822e-01
101,-2.876e-13,2.572e+00
102,-2.876e-13,2.862e-01
103,-2.876e-13,2.688e-01
104,-2.876e-13,2.537e-01
105,-2.876e-13,3.035e-01
106,-2.876e-13,1.923e-01
107,-2.876e-13,2.714e-01
108,-2.876e-13,2.944e-01
109,-2.876e-13,2.538e-01
110,-2.876e-13,3.014e-01
111,-2.876e-13,2.695e-01
112,-2.876e-13,2.570e-01
113,-2.876e-13,2.417e-01
114,-2.876e-13,3.028e-01
115,-2.876e-13,2.752e-01
116,-2.876e-13,2.783e-01
117,-2.876e-13,2.560e-01
118,-2.876e-13,2.867e-01
119,-2.876e-13,2.558e-01
120,-2.876e-13,2.533e-01
121,-2.876e-13,3.780e-01
122,-2.876e-13,3.014e-01
123,-2.876e-13,2.618e-01
124,-2.876e-13,2.578e-01
125,-2.876e-13,2.846e-01
126,-2.876e-13,3.271e-01
127,-2.876e-13,5.291e-01
128,-2.876e-13,2.729e-01
129,-2.876e-13,4.930e-01
130,-2.876e-13,2.654e-01
131,-2.876e-13,6.710e-01
132,-2.876e-13,3.572e-01
133,-2.876e-13,8.759e+00
134,-2.876e-13,2.712e-01
135,-2.876e-13,2.635e-01
136,-2.876e-13,7.507e+00
137,-2.876e-13,2.613e-01
138,-2.876e-13,2.638e-01
139,-2.876e-13,7.708e+00
140,-2.876e-13,2.627e-01
141,-2.876e-13,2.525e-01
142,-2.876e-13,2.662e-01
143,-2.876e-13,3.179e-01
144,-2.876e-13,3.604e-01
145,-2.876e-13,2.825e-01
146,-2.876e-13,4.702e-01
147,-2.876e-13,4.707e-01
148,-2.876e-13,2.963e-01
149,-2.876e-13,2.619e-01
150,-2.876e-13,2.654e-01
151,-2.876e-13,4.336e-01
152,-2.876e-13,3.699e-01
153,-2.876e-13,3.608e-01
154,-2.876e-13,2.796e-01
155,-2.876e-13,2.838e-01
156,-2.876e-13,2.481e-01
157,-2.876e-13,2.588e-01
158,-2.876e-13,2.981e-01
159,-2.876e-13,2.985e-01
160,-2.876e-13,3.299e-01
161,-2.876e-13,2.702e-01
162,-2.876e-13,2.417e-01
163,-2.876e-13,2.460e-01
164,-2.876e-13,3.194e-01
165,-2.876e-13,2.771e-01
166,-2.876e-13,2.901e-01
167,-2.876e-13,3.690e-01
