multistart,objective value,elapsed time
1,-2.876e-13,1.860e+01
2,-2.876e-13,1.888e+01
3,-2.876e-13,1.878e+01
4,-2.876e-13,1.880e+01
5,-2.876e-13,1.887e+01
6,-2.876e-13,1.879e+01
7,-2.876e-13,1.892e+01
8,-2.876e-13,1.880e+01
9,-2.876e-13,1.876e+01
10,-2.876e-13,1.774e+01
11,-2.876e-13,1.879e+01
12,-2.876e-13,1.884e+01
13,-2.876e-13,1.886e+01
14,-2.876e-13,1.785e+01
15,-2.876e-13,1.881e+01
16,-2.876e-13,1.941e+01
17,-2.876e-13,1.977e+01
18,-2.876e-13,1.880e+01
19,-2.876e-13,1.818e+01
20,-2.876e-13,1.914e+01
21,-2.876e-13,1.782e+01
22,-2.876e-13,1.881e+01
23,-2.876e-13,1.871e+01
24,-2.876e-13,1.878e+01
25,-2.876e-13,1.871e+01
26,-2.876e-13,1.842e+01
27,-2.876e-13,1.892e+01
28,-2.876e-13,1.879e+01
29,-2.876e-13,1.878e+01
30,-2.876e-13,1.921e+01
31,-2.876e-13,1.963e+01
32,-2.876e-13,1.980e+01
33,-2.876e-13,1.856e+01
34,-2.876e-13,1.875e+01
35,-2.876e-13,1.893e+01
36,-2.876e-13,1.875e+01
37,-2.876e-13,1.877e+01
38,-2.876e-13,1.763e+01
39,-2.876e-13,1.881e+01
40,-2.876e-13,1.912e+01
41,-2.876e-13,1.779e+01
42,-2.876e-13,1.872e+01
43,-2.876e-13,1.979e+01
44,-2.876e-13,1.904e+01
45,-2.876e-13,7.797e+00
46,-2.876e-13,9.979e+00
47,-2.876e-13,1.861e+01
48,-2.876e-13,1.948e+01
49,-2.876e-13,1.904e+01
50,-2.876e-13,1.870e+01
51,-2.876e-13,6.608e+00
52,-2.876e-13,1.106e+01
53,-2.876e-13,1.879e+01
54,-2.876e-13,1.901e+01
55,-2.876e-13,1.917e+01
56,-2.876e-13,1.898e+01
57,-2.876e-13,1.779e+01
58,-2.876e-13,1.979e+01
59,-2.876e-13,2.879e+01
60,-2.876e-13,9.054e+00
61,-2.876e-13,1.881e+01
62,-2.876e-13,3.864e+01
63,-2.876e-13,1.964e+01
64,-2.876e-13,1.897e+01
65,-2.876e-13,1.940e+01
66,-2.876e-13,1.816e+01
67,-2.876e-13,1.884e+01
68,-2.876e-13,1.893e+01
69,-2.876e-13,1.873e+01
70,-2.876e-13,1.878e+01
71,-2.876e-13,1.877e+01
72,-2.876e-13,1.874e+01
73,-2.876e-13,1.886e+01
74,-2.876e-13,1.868e+01
75,-2.876e-13,1.884e+01
76,-2.876e-13,1.869e+01
77,-2.876e-13,1.973e+01
78,-2.876e-13,1.895e+01
79,-2.876e-13,1.883e+01
80,-2.876e-13,1.867e+01
81,-2.876e-13,1.888e+01
82,-2.876e-13,1.878e+01
83,-2.876e-13,1.875e+01
84,-2.876e-13,1.875e+01
85,-2.876e-13,1.879e+01
86,-2.876e-13,1.884e+01
87,-2.876e-13,1.878e+01
88,-2.876e-13,1.867e+01
89,-2.876e-13,1.858e+01
90,-2.876e-13,1.869e+01
91,-2.876e-13,1.876e+01
92,-2.876e-13,1.892e+01
93,-2.876e-13,1.874e+01
94,-2.876e-13,1.872e+01
95,-2.876e-13,1.868e+01
96,-2.876e-13,1.892e+01
97,-2.876e-13,1.881e+01
98,-2.876e-13,1.882e+01
99,-2.876e-13,1.884e+01
100,-2.876e-13,1.877e+01
101,-2.876e-13,1.985e+01
102,-2.876e-13,1.867e+01
103,-2.876e-13,1.965e+01
104,-2.876e-13,1.889e+01
105,-2.876e-13,1.866e+01
106,-2.876e-13,1.859e+01
107,-2.876e-13,1.891e+01
108,-2.876e-13,1.870e+01
109,-2.876e-13,1.869e+01
110,-2.876e-13,1.885e+01
111,-2.876e-13,1.863e+01
112,-2.876e-13,1.867e+01
113,-2.876e-13,1.966e+01
114,-2.876e-13,1.968e+01
115,-2.876e-13,1.875e+01
116,-2.876e-13,1.765e+01
117,-2.876e-13,1.972e+01
118,-2.876e-13,1.818e+01
119,-2.876e-13,1.894e+01
120,-2.876e-13,1.926e+01
121,-2.876e-13,4.363e+00
122,-2.876e-13,1.301e+01
123,-2.876e-13,1.901e+01
124,-2.876e-13,1.887e+01
125,-2.876e-13,1.891e+01
126,-2.876e-13,1.907e+01
127,-2.876e-13,1.978e+01
128,-2.876e-13,1.893e+01
129,-2.876e-13,1.866e+01
130,-2.876e-13,5.852e+00
131,-2.876e-13,1.193e+01
132,-2.876e-13,1.888e+01
133,-2.876e-13,1.888e+01
134,-2.876e-13,1.898e+01
135,-2.876e-13,1.860e+01
136,-2.876e-13,1.888e+01
137,-2.876e-13,1.885e+01
138,-2.876e-13,1.840e+01
139,-2.876e-13,1.844e+01
140,-2.876e-13,3.080e+00
141,-2.876e-13,1.533e+01
142,-2.876e-13,1.787e+01
143,-2.876e-13,1.893e+01
144,-2.876e-13,1.891e+01
145,-2.876e-13,1.893e+01
146,-2.876e-13,3.891e+01
