multistart,objective value,elapsed time
1,-2.768e-13,1.761e+01
2,-2.768e-13,1.773e+01
3,-2.768e-13,1.336e+01
4,-2.768e-13,4.459e+00
5,-2.768e-13,1.985e+01
6,-2.768e-13,1.205e+01
7,-2.768e-13,3.235e+00
8,-2.768e-13,8.825e+00
9,-2.768e-13,1.133e+01
10,-2.768e-13,1.885e+01
11,-2.768e-13,1.901e+01
12,-2.768e-13,9.803e+00
13,-2.768e-13,7.809e+00
14,-2.768e-13,1.889e+01
15,-2.768e-13,1.962e+01
16,-2.768e-13,1.806e+01
17,-2.768e-13,9.933e+00
18,-2.768e-13,7.845e+00
19,-2.768e-13,1.950e+01
20,-2.768e-13,1.814e+01
21,-2.768e-13,1.958e+01
22,-2.768e-13,1.815e+01
23,-2.768e-13,5.669e+00
24,-2.768e-13,1.250e+01
25,-2.768e-13,1.842e+01
26,-2.768e-13,1.956e+01
27,-2.768e-13,1.820e+01
28,-2.768e-13,1.818e+01
29,-2.768e-13,1.958e+01
30,-2.768e-13,1.951e+01
31,-2.768e-13,1.819e+01
32,-2.768e-13,1.952e+01
33,-2.768e-13,1.821e+01
34,-2.768e-13,1.959e+01
35,-2.768e-13,1.819e+01
36,-2.768e-13,1.953e+01
37,-2.768e-13,1.818e+01
38,-2.768e-13,1.953e+01
39,-2.768e-13,1.780e+01
40,-2.768e-13,1.958e+01
41,-2.768e-13,1.887e+01
42,-2.768e-13,1.841e+01
43,-2.768e-13,1.873e+01
44,-2.768e-13,1.982e+01
45,-2.768e-13,1.834e+01
46,-2.768e-13,1.842e+01
47,-2.768e-13,1.956e+01
48,-2.768e-13,1.817e+01
49,-2.768e-13,1.961e+01
50,-2.768e-13,1.812e+01
51,-2.768e-13,1.970e+01
52,-2.768e-13,3.218e+00
53,-2.768e-13,1.461e+01
54,-2.768e-13,1.802e+01
55,-2.768e-13,1.958e+01
56,-2.768e-13,1.758e+01
57,-2.768e-13,1.960e+01
58,-2.768e-13,1.820e+01
59,-2.768e-13,1.953e+01
60,-2.768e-13,1.809e+01
61,-2.768e-13,1.952e+01
62,-2.768e-13,1.821e+01
63,-2.768e-13,1.953e+01
64,-2.768e-13,1.822e+01
65,-2.768e-13,1.952e+01
66,-2.768e-13,1.823e+01
67,-2.768e-13,1.954e+01
68,-2.768e-13,1.820e+01
69,-2.768e-13,1.952e+01
70,-2.768e-13,1.822e+01
71,-2.768e-13,1.952e+01
72,-2.768e-13,1.786e+01
73,-2.768e-13,1.894e+01
74,-2.768e-13,6.150e+00
75,-2.768e-13,1.152e+01
76,-2.768e-13,1.888e+01
77,-2.768e-13,1.959e+01
78,-2.768e-13,1.817e+01
