multistart,objective value,elapsed time
1,0.000e+00,1.875e+01
2,0.000e+00,1.876e+01
3,-2.847e-13,1.875e+01
4,0.000e+00,1.874e+01
5,0.000e+00,1.907e+01
6,-2.848e-13,1.840e+01
7,-2.840e-13,1.781e+01
8,-2.840e-13,2.076e+01
9,-2.848e-13,1.860e+01
10,0.000e+00,1.973e+01
11,0.000e+00,1.812e+01
12,0.000e+00,1.973e+01
13,-2.848e-13,1.980e+01
14,-2.839e-13,1.808e+01
15,-2.848e-13,1.888e+01
16,0.000e+00,1.889e+01
17,-2.848e-13,1.943e+01
18,0.000e+00,1.832e+01
19,-2.848e-13,1.881e+01
20,-2.848e-13,1.888e+01
21,-2.846e-13,1.885e+01
22,-2.848e-13,1.888e+01
23,-2.848e-13,1.845e+01
24,-2.848e-13,2.586e+00
25,-2.848e-13,1.572e+01
26,-2.848e-13,1.853e+01
27,-2.848e-13,1.890e+01
28,-2.848e-13,1.887e+01
29,-2.848e-13,1.900e+01
30,0.000e+00,1.872e+01
31,-2.848e-13,1.892e+01
32,0.000e+00,1.888e+01
33,-2.831e-13,1.885e+01
34,0.000e+00,1.886e+01
35,0.000e+00,1.886e+01
36,-2.848e-13,1.891e+01
37,0.000e+00,1.884e+01
38,-2.848e-13,1.889e+01
39,-2.848e-13,1.892e+01
40,0.000e+00,1.885e+01
41,-2.848e-13,1.887e+01
42,0.000e+00,1.882e+01
43,0.000e+00,1.891e+01
44,-2.848e-13,1.918e+01
45,0.000e+00,1.860e+01
46,0.000e+00,1.885e+01
47,-2.848e-13,1.889e+01
48,-2.848e-13,1.887e+01
49,-2.848e-13,1.881e+01
50,-2.848e-13,1.891e+01
51,-2.848e-13,1.888e+01
52,-2.848e-13,1.886e+01
53,0.000e+00,1.889e+01
54,-2.831e-13,1.888e+01
55,0.000e+00,1.830e+01
56,-2.821e-13,1.887e+01
57,0.000e+00,1.888e+01
58,-2.843e-13,1.888e+01
59,0.000e+00,1.950e+01
60,0.000e+00,1.829e+01
61,-2.848e-13,1.886e+01
62,-2.848e-13,1.874e+01
63,0.000e+00,1.893e+01
64,-2.848e-13,1.886e+01
65,0.000e+00,1.885e+01
66,-2.848e-13,1.890e+01
67,0.000e+00,1.886e+01
68,0.000e+00,1.886e+01
69,0.000e+00,1.892e+01
70,-2.846e-13,1.888e+01
71,-2.848e-13,1.852e+01
72,0.000e+00,1.859e+01
73,0.000e+00,1.889e+01
74,-2.827e-13,1.890e+01
75,-2.852e-13,1.886e+01
76,-2.848e-13,1.889e+01
77,-2.848e-13,1.881e+01
78,-2.848e-13,1.887e+01
79,-2.854e-13,1.888e+01
80,-2.833e-13,1.889e+01
81,-2.841e-13,1.888e+01
82,-2.848e-13,1.888e+01
83,-2.848e-13,1.887e+01
84,-2.848e-13,1.888e+01
85,-2.848e-13,1.888e+01
86,-2.848e-13,1.887e+01
87,0.000e+00,1.884e+01
