multistart,objective value,elapsed time
1,2.347e-09,2.409e+00
2,-7.828e-10,1.945e+01
3,-8.522e-10,1.847e+01
4,3.765e-09,1.847e+01
5,-1.858e-10,1.947e+01
6,-7.098e-10,1.848e+01
7,2.414e-07,1.847e+01
8,-9.760e-10,1.881e+01
9,3.648e-07,1.948e+01
10,-9.806e-10,1.982e+01
11,2.185e-08,1.895e+01
12,4.063e-08,1.881e+01
13,5.717e-07,1.889e+01
14,-9.346e-10,1.882e+01
15,3.482e-09,1.877e+01
16,2.051e-06,1.895e+01
17,1.035e-08,1.810e+01
18,2.593e-09,1.852e+01
19,-2.263e-10,1.877e+01
20,9.303e-09,7.256e+00
21,-8.819e-10,1.039e+01
22,-6.994e-10,1.877e+01
23,1.539e-07,1.880e+01
24,2.633e-07,1.930e+01
25,7.091e-08,1.839e+01
26,-9.632e-10,1.870e+01
27,2.056e-08,1.875e+01
28,-6.105e-10,1.888e+01
29,1.785e-09,1.875e+01
30,2.814e-08,1.883e+01
31,8.017e-08,1.880e+01
32,-5.878e-10,1.891e+01
33,8.990e-08,1.870e+01
34,-8.490e-10,1.852e+01
35,-6.782e-10,1.856e+01
36,9.617e-07,1.884e+01
37,4.926e-09,1.875e+01
38,5.212e-08,1.878e+01
39,4.107e-10,1.969e+01
40,-5.231e-10,1.785e+01
41,1.949e-09,1.839e+01
42,1.289e-06,1.883e+01
43,-7.427e-10,1.880e+01
44,2.923e-07,1.880e+01
45,-8.207e-10,1.872e+01
46,5.596e-08,1.869e+01
47,9.230e-07,1.883e+01
48,4.463e-08,1.887e+01
49,2.425e-08,1.881e+01
50,1.103e-08,1.848e+01
51,5.954e-09,1.878e+01
52,-6.732e-10,1.878e+01
53,1.374e-07,1.882e+01
54,-4.029e-10,1.895e+01
55,-7.077e-10,1.942e+01
56,2.075e-07,1.904e+01
57,-6.383e-10,1.884e+01
58,-9.820e-10,1.824e+01
59,3.218e-07,1.880e+01
60,-9.251e-11,1.886e+01
61,9.127e-07,1.880e+01
62,5.917e-09,1.885e+01
63,4.999e-09,4.967e+00
64,1.452e-09,1.275e+01
65,-7.019e-10,1.949e+01
66,1.801e-08,5.638e+00
67,-5.707e-10,1.091e+01
68,2.192e-06,1.880e+01
69,-6.355e-10,1.862e+01
