multistart,objective value,elapsed time
1,-2.005e+12,1.250e+01
2,-2.604e+12,1.880e+01
3,3.175e+02,1.853e+01
4,-2.535e+12,1.870e+01
5,-1.749e+01,1.899e+01
6,-2.364e+12,1.871e+01
7,-1.660e+01,1.899e+01
8,-2.072e+01,1.820e+01
9,-2.126e+12,1.771e+01
10,-2.478e+12,1.886e+01
11,-1.625e+12,1.835e+01
12,-2.554e+12,1.885e+01
13,-2.248e+12,1.834e+01
14,-2.082e+01,1.916e+01
15,-2.601e+12,1.833e+01
16,-2.366e+12,1.878e+01
17,-5.003e+00,1.895e+01
18,-2.300e+12,1.881e+01
19,-2.511e+12,1.685e+01
20,-7.639e+00,2.063e+01
21,-3.434e+01,1.918e+01
22,-1.013e+01,1.778e+01
23,-1.357e+02,1.891e+01
24,-3.699e+02,1.806e+01
25,-5.933e+00,9.274e+00
26,-2.698e+12,8.468e+00
27,-2.208e+12,1.893e+01
28,-2.164e+12,1.882e+01
29,-2.201e+12,1.808e+01
30,-2.053e+12,1.897e+01
31,-1.369e+02,1.904e+01
32,4.317e+03,1.803e+01
33,-3.854e+10,1.863e+01
34,-3.762e+01,1.885e+01
35,-2.438e+12,1.826e+01
36,-1.458e+01,1.915e+01
37,-2.045e+12,1.897e+01
38,-6.069e+00,1.823e+01
39,-2.193e+03,1.850e+01
40,-2.568e+12,2.471e+00
41,-1.495e+12,1.571e+01
42,-1.227e+04,1.801e+01
43,-2.101e+12,1.934e+01
44,-2.289e+12,4.818e+00
45,-2.226e+12,5.526e+00
46,-2.749e+12,3.501e+01
47,-2.342e+12,2.508e+00
48,-1.028e+12,1.156e+01
49,-2.361e+12,5.017e+00
50,-1.602e+02,1.853e+01
51,-1.898e+12,1.861e+01
52,-2.016e+12,1.855e+01
53,-2.355e+12,1.858e+01
54,-9.795e+00,1.869e+01
55,-2.582e+12,1.869e+01
56,-9.645e+00,1.900e+01
57,-2.323e+12,1.883e+01
58,-2.275e+01,1.894e+01
59,-2.324e+12,1.840e+01
60,-2.246e+12,1.860e+01
61,-5.578e+02,1.963e+01
62,-2.587e+12,1.859e+01
63,-2.176e+12,1.558e+01
64,-1.207e+01,1.872e+01
65,-2.418e+12,3.981e+00
66,-2.707e+12,1.336e+01
67,-2.613e+12,1.926e+01
68,-2.363e+12,1.852e+01
69,-1.909e+12,1.107e+01
70,-2.136e+12,7.505e+00
71,-6.572e+00,1.971e+01
72,-2.155e+01,1.865e+01
73,-2.535e+12,1.860e+01
74,-1.068e+01,1.952e+01
75,-2.261e+12,1.805e+01
76,-4.878e+00,2.914e+00
77,-3.500e+01,1.544e+01
78,-7.575e+00,1.935e+01
79,-2.694e+12,3.966e+00
80,-2.463e+01,1.396e+01
81,-2.274e+01,1.908e+01
82,-2.111e+12,1.870e+01
83,-2.350e+12,1.873e+01
84,-2.082e+12,1.871e+01
85,-2.476e+12,1.876e+01
86,-8.194e+00,1.930e+01
87,4.651e+02,1.873e+01
88,-2.047e+01,1.822e+01
89,-1.415e+02,1.809e+01
90,-2.502e+12,2.029e+01
91,1.494e+03,1.891e+01
92,-6.198e+00,1.896e+01
93,-2.024e+12,1.852e+01
94,-2.205e+12,1.860e+01
95,-7.603e+00,1.899e+01
96,-2.348e+12,1.886e+01
97,-2.096e+12,1.928e+01
98,-2.182e+12,1.867e+01
99,-2.242e+12,1.854e+01
100,-2.631e+12,1.863e+01
101,-1.536e+01,1.969e+01
102,-7.101e+00,1.904e+01
103,-2.469e+12,1.955e+01
104,-2.466e+12,1.907e+01
105,-2.394e+12,1.956e+01
106,-1.703e+12,1.741e+01
107,-1.473e+12,1.986e+01
108,-1.289e+02,1.879e+01
109,-1.930e+01,1.971e+01
110,-2.320e+12,1.856e+01
111,-2.492e+12,1.820e+01
112,-2.093e+12,1.953e+01
113,-2.198e+12,1.857e+01
114,-2.153e+12,1.755e+01
115,-1.931e+01,1.902e+01
116,-5.997e+00,1.916e+01
117,-2.298e+12,8.469e+00
118,-1.882e+12,8.846e+00
119,-1.957e+12,1.955e+01
120,-2.405e+12,1.827e+01
121,-2.109e+01,5.055e+00
122,-5.771e+00,1.268e+01
123,-3.783e+01,1.970e+01
124,-1.025e+01,1.870e+01
125,-2.361e+12,1.856e+01
126,-1.526e+01,5.293e+00
127,-2.126e+12,1.256e+01
128,-7.450e+00,1.869e+01
129,-2.613e+12,1.942e+01
130,-1.352e+01,1.857e+01
131,-2.557e+12,1.856e+01
132,-2.178e+12,1.855e+01
133,-2.456e+12,1.860e+01
134,-2.447e+12,1.933e+01
135,-2.312e+12,1.880e+01
136,-1.952e+12,1.873e+01
137,-2.146e+01,1.889e+01
138,-2.177e+12,1.858e+01
139,-2.493e+12,1.859e+01
140,-5.921e+02,1.985e+01
141,-1.117e+01,1.825e+01
142,-2.380e+12,1.359e+01
143,-2.298e+12,4.537e+00
144,-2.279e+12,1.809e+01
145,-2.767e+12,1.957e+01
146,1.754e+03,1.863e+01
147,-2.235e+12,1.865e+01
148,-6.431e+00,1.935e+01
149,-7.060e+00,6.290e+00
150,-2.061e+01,1.173e+01
151,-2.367e+12,1.968e+01
152,-4.049e+01,1.944e+01
153,2.210e+03,1.837e+01
154,-2.353e+12,4.894e+00
155,-2.171e+12,1.216e+01
156,-2.042e+12,3.443e+00
157,-2.081e+01,1.538e+01
158,-2.074e+01,1.904e+01
159,-2.193e+12,1.755e+01
160,-2.425e+12,1.985e+01
161,-2.307e+01,7.871e+00
162,-8.586e+01,9.608e+00
163,-6.048e+00,5.729e+00
164,-2.131e+12,1.204e+01
165,-9.000e+00,1.923e+01
166,-2.462e+12,1.840e+01
167,-8.981e+02,1.984e+01
168,-2.793e+02,1.860e+01
169,-2.079e+12,1.844e+01
170,-1.582e+01,1.868e+01
171,-2.259e+12,1.859e+01
172,-2.450e+12,1.955e+01
173,-1.771e+01,1.827e+01
174,-2.597e+12,1.956e+01
175,-2.553e+12,2.013e+01
176,-2.120e+12,1.777e+01
177,-5.836e+00,1.899e+01
178,-2.270e+01,1.886e+01
179,-2.191e+12,1.876e+01
180,-2.166e+01,1.894e+01
181,-2.665e+12,1.872e+01
182,-2.412e+12,1.889e+01
183,-1.816e+12,1.890e+01
184,-2.724e+02,1.883e+01
185,-1.026e+09,1.898e+01
186,-2.479e+12,1.873e+01
187,-1.991e+01,1.900e+01
188,-4.083e+01,1.922e+01
189,-2.124e+01,1.852e+01
190,-2.219e+12,1.873e+01
191,-1.576e+03,1.896e+01
192,-2.677e+12,1.892e+01
193,3.335e+02,1.885e+01
194,-1.769e+12,1.893e+01
195,-2.579e+12,1.869e+01
196,-2.333e+12,1.895e+01
197,-1.030e+01,1.923e+01
198,-2.632e+12,1.846e+01
199,-6.294e+00,1.907e+01
200,-9.359e+00,1.855e+01
201,-8.525e+01,1.865e+01
202,-8.918e+00,1.915e+01
203,-2.250e+01,1.950e+01
204,-3.201e+01,1.823e+01
205,-2.721e+12,1.868e+01
206,-9.948e+00,1.901e+01
207,-1.699e+01,1.886e+01
208,-1.385e+01,1.899e+01
209,-2.314e+12,1.859e+01
210,-1.630e+12,1.979e+01
211,3.451e+03,1.794e+01
212,-1.491e+01,1.904e+01
213,-2.349e+12,1.870e+01
214,-6.088e+00,1.904e+01
215,-2.011e+12,1.867e+01
216,2.108e+02,1.890e+01
217,-2.065e+12,1.884e+01
218,-1.540e+01,1.896e+01
219,-2.052e+01,1.890e+01
220,-3.359e+01,1.890e+01
221,-2.270e+12,1.869e+01
222,-1.548e+01,1.904e+01
223,-2.178e+01,1.883e+01
224,-2.101e+12,1.867e+01
225,-1.063e+01,1.902e+01
226,-2.297e+12,1.873e+01
227,-2.262e+01,1.905e+01
228,1.690e+04,1.868e+01
229,-1.793e+12,1.888e+01
230,-2.212e+12,1.888e+01
231,-2.394e+12,1.839e+01
232,-2.113e+12,1.886e+01
233,-2.242e+12,1.898e+01
234,-2.680e+12,1.878e+01
235,-2.109e+12,1.886e+01
236,-6.989e+00,1.905e+01
237,1.211e+03,1.869e+01
238,-2.042e+12,1.889e+01
239,-2.318e+12,1.879e+01
240,-2.164e+01,1.907e+01
241,-2.314e+12,1.871e+01
242,-2.415e+01,1.905e+01
243,-2.234e+12,1.868e+01
244,-6.098e+00,1.908e+01
245,6.078e+03,1.869e+01
246,-2.324e+12,1.885e+01
247,1.648e+03,1.889e+01
248,-3.778e+01,1.946e+01
249,-2.120e+12,1.825e+01
250,-2.424e+12,1.890e+01
251,-2.215e+12,1.888e+01
252,-3.037e+02,1.922e+01
253,-2.217e+01,1.868e+01
254,-8.748e+00,1.897e+01
255,-1.078e+01,1.870e+01
256,-7.411e+00,1.885e+01
257,-2.130e+12,1.877e+01
258,-1.673e+01,1.902e+01
259,-2.079e+12,1.871e+01
260,-8.977e+02,1.886e+01
261,-2.374e+12,1.884e+01
262,-1.051e+01,1.878e+01
263,-6.123e+00,1.955e+01
264,1.875e+02,1.803e+01
265,-1.996e+01,1.900e+01
266,-2.405e+01,1.887e+01
267,-2.426e+12,1.920e+01
268,-2.593e+12,2.889e+01
269,-9.816e+00,1.858e+01
270,-9.762e+00,1.886e+01
271,-2.491e+12,1.860e+01
272,-2.455e+12,1.890e+01
273,-2.477e+12,1.886e+01
274,4.008e+02,1.894e+01
275,1.742e+03,1.884e+01
276,-2.125e+01,1.901e+01
277,-2.131e+01,1.828e+01
278,-2.004e+12,1.871e+01
279,-2.485e+01,1.908e+01
280,-2.314e+12,1.870e+01
281,-1.997e+12,1.892e+01
282,-1.382e+02,1.884e+01
283,-2.177e+12,1.877e+01
284,-2.062e+12,1.966e+01
285,-2.331e+12,1.818e+01
286,-6.099e+00,1.961e+01
287,-2.108e+01,1.834e+01
288,-1.039e+01,1.884e+01
289,-2.419e+12,1.862e+01
290,-9.975e+00,1.906e+01
291,-2.546e+01,1.885e+01
292,-2.258e+12,1.866e+01
293,-1.664e+01,1.866e+01
294,-2.336e+12,1.862e+01
295,-2.404e+12,1.895e+01
296,-6.396e+00,1.981e+01
297,-4.702e+00,1.809e+01
298,1.076e+01,1.888e+01
299,-2.509e+12,1.867e+01
300,-2.451e+12,1.891e+01
301,-2.636e+12,1.888e+01
302,-2.116e+12,1.886e+01
303,-3.739e+01,1.895e+01
304,-1.469e+01,1.880e+01
305,-2.104e+12,1.940e+01
306,-1.023e+06,1.840e+01
307,-2.320e+12,1.958e+01
308,-2.110e+12,1.899e+01
309,-2.574e+12,1.889e+01
310,-2.525e+12,1.937e+01
311,-2.412e+12,1.868e+01
312,4.372e+02,1.864e+01
313,8.641e+02,1.878e+01
314,-1.359e+01,1.893e+01
315,-1.332e+01,1.888e+01
316,-1.842e+01,1.886e+01
317,-5.449e+00,1.983e+01
318,-5.473e+00,1.788e+01
319,-6.074e+00,1.891e+01
320,-2.464e+09,1.874e+01
321,-2.191e+12,1.975e+01
322,-9.833e+00,1.981e+01
323,-2.156e+12,1.911e+01
324,-2.022e+01,1.998e+01
325,-2.417e+12,1.761e+01
326,-2.095e+01,1.983e+01
327,-1.523e+12,1.868e+01
328,-1.706e+03,3.203e+01
329,-2.192e+12,5.128e+01
330,-6.143e+00,1.896e+01
331,-2.292e+12,1.887e+01
332,-2.110e+12,1.883e+01
333,-2.343e+12,1.882e+01
334,-2.584e+12,1.149e+01
335,-2.341e+12,6.454e+00
336,-1.999e+12,1.846e+01
337,-2.480e+12,1.854e+01
338,-2.406e+01,1.968e+01
339,-2.239e+12,1.798e+01
340,-1.973e+12,1.955e+01
341,-1.818e+12,1.818e+01
342,-3.513e+01,1.970e+01
343,-1.184e+12,1.812e+01
344,-9.681e+00,1.966e+01
345,-2.522e+01,1.816e+01
346,-2.200e+12,1.954e+01
347,-2.472e+12,1.882e+01
348,-2.350e+12,1.852e+01
349,-2.109e+12,1.852e+01
350,-2.202e+01,1.972e+01
351,-2.385e+12,1.835e+01
352,9.619e+02,1.842e+01
353,-2.228e+12,1.955e+01
354,-2.409e+01,1.831e+01
355,-5.652e+00,1.969e+01
356,-2.353e+12,1.792e+01
357,6.193e+01,1.959e+01
358,-1.972e+12,1.817e+01
359,-4.136e+02,1.891e+01
360,-2.265e+12,1.890e+01
361,-2.316e+12,1.960e+01
362,-9.802e+00,1.824e+01
363,-2.325e+12,1.960e+01
364,-2.211e+12,1.805e+01
365,-3.275e+03,1.965e+01
366,-2.609e+12,1.801e+01
367,-2.410e+12,1.978e+01
368,-1.648e+02,1.890e+01
369,-6.200e+00,1.906e+01
370,-4.084e+01,1.888e+01
371,-6.094e+00,1.883e+01
372,-1.958e+05,1.879e+01
373,-1.971e+01,1.896e+01
374,-2.734e+12,1.872e+01
375,-2.193e+12,1.886e+01
376,9.549e+02,1.890e+01
377,-2.206e+12,1.887e+01
378,-6.071e+00,1.929e+01
379,-2.231e+12,1.852e+01
380,-1.929e+01,1.897e+01
381,-2.195e+12,1.910e+01
382,-2.094e+01,1.857e+01
383,-2.206e+12,1.839e+01
384,-1.373e+02,1.884e+01
385,-9.885e+00,1.901e+01
386,-5.270e+00,1.893e+01
387,-1.415e+01,1.883e+01
388,-5.959e+00,1.887e+01
389,-5.298e+00,1.888e+01
390,-2.266e+12,1.872e+01
391,-2.131e+12,1.947e+01
392,-2.454e+12,1.827e+01
393,-2.309e+12,1.885e+01
394,5.069e+02,1.894e+01
395,-2.862e+12,1.881e+01
396,-2.107e+12,1.954e+01
397,-2.432e+01,1.836e+01
398,-2.082e+12,1.876e+01
399,-2.167e+01,1.874e+01
400,-1.712e+01,1.886e+01
401,-2.117e+01,1.883e+01
402,-2.457e+12,1.876e+01
403,-5.871e+00,1.899e+01
404,-2.243e+01,1.885e+01
405,-1.777e+01,1.892e+01
406,-1.790e+01,1.885e+01
407,-2.210e+12,1.879e+01
408,-2.337e+12,1.880e+01
409,-3.448e+01,1.904e+01
410,-2.670e+12,1.897e+01
411,-2.499e+12,1.860e+01
412,-2.298e+12,1.902e+01
413,4.787e+02,1.891e+01
414,-1.970e+12,1.882e+01
415,-2.634e+12,1.853e+01
416,-2.435e+01,1.898e+01
417,-2.434e+01,1.891e+01
418,-2.358e+12,1.875e+01
419,-2.501e+05,1.883e+01
420,-3.839e+01,1.906e+01
421,-3.589e+01,1.882e+01
422,-2.526e+12,1.874e+01
423,1.617e+03,1.891e+01
424,1.014e+02,1.882e+01
425,-2.236e+12,1.891e+01
426,-2.000e+01,1.923e+01
427,-2.464e+01,1.853e+01
428,-2.495e+12,1.969e+01
429,-2.480e+12,1.791e+01
430,-2.118e+12,1.885e+01
431,-2.273e+01,1.902e+01
432,-1.325e+02,1.893e+01
433,-2.174e+12,1.870e+01
434,-2.194e+12,1.881e+01
435,-2.420e+12,1.892e+01
436,-1.999e+12,1.893e+01
