multistart,objective value,elapsed time
1,-2.875e-14,1.826e+01
2,-2.875e-14,9.680e+00
3,-2.875e-14,7.934e+00
4,0.000e+00,1.976e+01
5,-2.964e-14,1.977e+01
6,-2.875e-14,1.875e+01
7,-2.789e-14,1.876e+01
8,-2.875e-14,1.877e+01
9,-2.831e-14,1.847e+01
10,-2.875e-14,1.985e+01
11,-2.875e-14,3.072e+00
12,-2.853e-14,1.476e+01
13,-2.875e-14,1.878e+01
14,-2.875e-14,1.877e+01
15,-2.831e-14,1.976e+01
16,-2.874e-14,1.590e+01
17,-5.629e-14,2.175e+01
18,-2.875e-14,1.861e+01
19,-3.009e-14,1.873e+01
20,-5.707e-14,1.877e+01
21,-2.920e-14,1.877e+01
22,-2.920e-14,1.876e+01
23,-8.557e-14,1.877e+01
24,-2.875e-14,1.876e+01
25,-5.718e-14,1.976e+01
26,-2.875e-14,1.875e+01
27,-2.875e-14,1.882e+01
28,-2.875e-14,1.877e+01
29,-2.875e-14,1.877e+01
30,-2.887e-14,1.879e+01
31,-8.560e-14,1.874e+01
32,0.000e+00,1.873e+01
33,-2.875e-14,1.872e+01
34,-2.875e-14,1.974e+01
35,-2.875e-14,1.973e+01
36,-2.920e-14,1.812e+01
37,-2.881e-14,1.978e+01
38,-5.718e-14,1.867e+01
39,0.000e+00,1.881e+01
40,-2.875e-14,1.887e+01
41,-2.698e-14,1.887e+01
42,-2.875e-14,1.889e+01
43,-2.877e-14,1.887e+01
44,-2.875e-14,1.886e+01
45,-2.875e-14,1.888e+01
46,-2.864e-14,1.892e+01
47,0.000e+00,1.884e+01
48,-5.629e-14,1.888e+01
49,-2.964e-14,1.874e+01
50,-5.718e-14,1.893e+01
51,-2.964e-14,1.884e+01
52,-2.875e-14,1.890e+01
53,0.000e+00,1.885e+01
54,-2.875e-14,1.888e+01
55,0.000e+00,1.945e+01
56,-2.742e-14,1.831e+01
57,-2.875e-14,1.886e+01
58,-2.809e-14,1.889e+01
59,-2.875e-14,1.890e+01
60,-2.870e-14,1.887e+01
61,-2.875e-14,1.886e+01
62,-2.964e-14,1.887e+01
63,-2.875e-14,1.885e+01
64,-2.520e-14,1.882e+01
65,0.000e+00,1.886e+01
66,-2.875e-14,1.891e+01
67,0.000e+00,1.887e+01
68,0.000e+00,1.884e+01
69,-2.875e-14,1.884e+01
70,-2.898e-14,1.886e+01
71,-2.964e-14,1.888e+01
72,-2.887e-14,1.886e+01
73,0.000e+00,1.885e+01
74,-2.742e-14,1.892e+01
75,0.000e+00,1.884e+01
76,-5.707e-14,1.885e+01
77,-2.887e-14,1.888e+01
78,-5.718e-14,1.879e+01
79,0.000e+00,1.889e+01
80,-2.920e-14,1.888e+01
81,-2.826e-14,1.887e+01
82,-2.875e-14,1.888e+01
83,-2.859e-14,1.888e+01
84,-2.609e-14,1.878e+01
85,-5.718e-14,1.893e+01
86,-2.875e-14,1.883e+01
87,-2.853e-14,1.888e+01
88,-2.920e-14,1.886e+01
89,-5.884e-14,1.888e+01
90,-2.875e-14,1.888e+01
91,-2.875e-14,1.885e+01
92,-5.718e-14,1.891e+01
93,-2.875e-14,1.874e+01
94,-2.898e-14,1.893e+01
95,-8.560e-14,1.890e+01
96,-2.787e-14,1.883e+01
97,-2.875e-14,1.886e+01
98,-2.875e-14,1.886e+01
99,-2.875e-14,1.887e+01
100,0.000e+00,1.885e+01
101,-2.742e-14,1.885e+01
102,-2.875e-14,1.887e+01
103,-2.875e-14,1.882e+01
104,-2.873e-14,1.888e+01
105,-2.875e-14,1.890e+01
106,-5.895e-14,1.887e+01
107,-2.887e-14,1.878e+01
108,-2.887e-14,1.887e+01
109,-2.931e-14,1.886e+01
110,-2.875e-14,1.888e+01
111,-5.718e-14,1.887e+01
112,-2.875e-14,1.886e+01
113,0.000e+00,1.888e+01
114,-2.875e-14,1.888e+01
115,-2.875e-14,1.886e+01
116,-5.718e-14,1.857e+01
117,-2.874e-14,1.886e+01
118,-2.964e-14,1.887e+01
119,-2.887e-14,1.885e+01
120,-2.875e-14,1.889e+01
121,-2.875e-14,1.887e+01
122,-5.718e-14,1.879e+01
123,-2.853e-14,1.891e+01
124,-2.787e-14,1.886e+01
125,-2.875e-14,1.908e+01
126,-2.875e-14,8.354e+00
127,-2.875e-14,9.206e+00
128,-5.718e-14,1.889e+01
129,-2.964e-14,1.951e+01
130,-2.875e-14,1.924e+01
131,0.000e+00,1.887e+01
132,-2.875e-14,1.890e+01
133,-2.875e-14,1.884e+01
134,-2.875e-14,1.892e+01
135,-2.875e-14,1.884e+01
136,-2.903e-14,1.880e+01
137,-2.875e-14,1.862e+01
138,0.000e+00,1.988e+01
139,-2.875e-14,1.879e+01
140,-5.806e-14,1.877e+01
141,-2.875e-14,1.875e+01
142,0.000e+00,1.877e+01
143,-2.776e-14,1.877e+01
144,-2.875e-14,1.876e+01
145,-2.831e-14,1.876e+01
146,0.000e+00,1.954e+01
147,0.000e+00,1.772e+01
148,-5.718e-14,1.886e+01
149,-2.964e-14,1.890e+01
150,-2.875e-14,1.886e+01
151,-2.875e-14,1.883e+01
152,-2.853e-14,1.884e+01
153,0.000e+00,1.884e+01
154,-2.875e-14,1.896e+01
155,0.000e+00,1.868e+01
156,-2.875e-14,1.874e+01
157,-2.831e-14,1.883e+01
158,-2.875e-14,1.888e+01
159,-2.875e-14,1.962e+01
160,0.000e+00,1.851e+01
161,-2.875e-14,1.854e+01
162,-2.875e-14,1.882e+01
163,-2.881e-14,1.863e+01
164,0.000e+00,2.776e+00
165,-2.698e-14,1.574e+01
166,-2.875e-14,1.880e+01
167,-2.875e-14,1.873e+01
168,-2.920e-14,1.874e+01
169,-2.875e-14,1.875e+01
170,-2.875e-14,1.882e+01
171,-2.875e-14,1.944e+01
172,-2.875e-14,1.876e+01
173,-2.875e-14,1.876e+01
174,-2.921e-14,1.876e+01
175,-2.875e-14,1.852e+01
176,0.000e+00,1.883e+01
177,-3.042e-14,1.888e+01
178,-2.898e-14,1.885e+01
179,-2.875e-14,1.887e+01
180,-2.831e-14,1.882e+01
181,-2.875e-14,1.884e+01
182,-2.875e-14,1.887e+01
183,-2.787e-14,1.954e+01
184,-2.875e-14,8.503e+00
185,-2.964e-14,8.692e+00
186,-2.920e-14,1.875e+01
187,-2.920e-14,1.889e+01
188,-2.842e-14,1.889e+01
189,-2.875e-14,1.882e+01
190,-2.875e-14,1.887e+01
191,0.000e+00,1.889e+01
192,-2.875e-14,1.886e+01
193,-2.870e-14,1.896e+01
194,-2.964e-14,1.875e+01
195,-2.831e-14,1.877e+01
196,-2.875e-14,1.875e+01
197,-2.875e-14,1.876e+01
198,0.000e+00,1.875e+01
199,-5.718e-14,1.910e+01
200,-2.784e-14,5.310e+00
201,-2.864e-14,1.272e+01
202,-3.053e-14,1.921e+01
203,-2.920e-14,1.875e+01
204,-2.964e-14,1.876e+01
205,-2.875e-14,1.945e+01
206,-2.875e-14,1.877e+01
207,-2.875e-14,1.878e+01
208,-2.870e-14,1.877e+01
209,-2.887e-14,1.877e+01
210,-2.964e-14,1.877e+01
211,0.000e+00,1.881e+01
212,-3.053e-14,1.877e+01
213,-2.875e-14,1.875e+01
214,-2.875e-14,1.926e+01
215,-2.831e-14,1.863e+01
216,-2.898e-14,1.876e+01
217,-2.875e-14,1.876e+01
218,-2.875e-14,1.874e+01
219,-2.875e-14,1.977e+01
220,-2.875e-14,1.878e+01
221,-2.875e-14,1.823e+01
222,-2.875e-14,3.885e+00
223,-2.864e-14,1.373e+01
224,-2.875e-14,1.977e+01
225,-2.875e-14,1.976e+01
226,-2.875e-14,1.814e+01
227,-2.875e-14,5.486e+00
228,0.000e+00,1.206e+01
229,-2.875e-14,1.979e+01
230,-2.875e-14,1.975e+01
231,-5.718e-14,1.880e+01
232,-2.787e-14,1.876e+01
233,0.000e+00,1.876e+01
234,-2.875e-14,1.878e+01
235,-2.831e-14,1.876e+01
236,-2.787e-14,1.874e+01
237,0.000e+00,1.879e+01
238,0.000e+00,1.876e+01
239,-2.964e-14,1.976e+01
240,-2.875e-14,1.826e+01
241,-2.875e-14,1.868e+01
242,-3.009e-14,1.925e+01
243,-2.875e-14,1.903e+01
244,-5.718e-14,1.822e+01
245,0.000e+00,1.974e+01
246,-2.787e-14,1.976e+01
247,0.000e+00,1.872e+01
248,-2.875e-14,1.878e+01
249,-2.875e-14,1.877e+01
250,0.000e+00,1.877e+01
251,-2.875e-14,1.877e+01
252,-5.718e-14,1.875e+01
253,-2.875e-14,1.954e+01
254,-2.875e-14,1.873e+01
255,-2.886e-14,1.878e+01
256,-5.718e-14,1.882e+01
257,-2.875e-14,4.665e+00
258,-2.831e-14,4.679e+00
259,-2.875e-14,6.748e+00
260,-2.875e-14,1.911e+01
261,-2.875e-14,1.818e+01
262,-2.875e-14,1.879e+01
263,-5.718e-14,1.877e+01
264,-2.875e-14,1.976e+01
265,-2.920e-14,1.896e+01
266,-3.053e-14,3.972e+00
267,-2.875e-14,1.378e+01
268,-2.875e-14,1.977e+01
269,-2.964e-14,1.975e+01
270,-2.567e-14,1.874e+01
271,-2.875e-14,1.874e+01
272,-2.875e-14,1.878e+01
273,-2.787e-14,1.885e+01
274,-2.881e-14,1.879e+01
275,-2.875e-14,1.877e+01
