multistart,objective value,elapsed time
1,0.000e+00,1.805e+01
2,0.000e+00,1.862e+01
3,0.000e+00,1.864e+01
4,0.000e+00,1.873e+01
5,0.000e+00,1.856e+01
6,-2.875e-14,1.867e+01
7,0.000e+00,1.870e+01
8,0.000e+00,1.864e+01
9,0.000e+00,1.925e+01
10,0.000e+00,1.802e+01
11,0.000e+00,1.868e+01
12,0.000e+00,1.863e+01
13,4.441e-16,1.864e+01
14,0.000e+00,1.851e+01
15,-2.864e-14,1.866e+01
16,0.000e+00,1.912e+01
17,-2.875e-14,1.823e+01
18,0.000e+00,1.868e+01
19,-2.887e-14,1.831e+01
20,-2.875e-14,1.863e+01
21,0.000e+00,1.864e+01
22,0.000e+00,1.868e+01
23,-5.751e-14,1.870e+01
24,-2.887e-14,1.864e+01
25,-5.751e-14,1.867e+01
26,-2.864e-14,1.865e+01
27,0.000e+00,1.864e+01
28,0.000e+00,1.865e+01
29,-2.874e-14,1.863e+01
30,0.000e+00,3.674e+01
31,-5.757e-14,2.053e+01
32,0.000e+00,1.861e+01
33,0.000e+00,1.865e+01
34,0.000e+00,1.869e+01
35,0.000e+00,1.861e+01
36,0.000e+00,1.861e+01
37,0.000e+00,1.863e+01
38,-5.754e-14,1.868e+01
39,0.000e+00,1.864e+01
40,0.000e+00,1.861e+01
41,-2.875e-14,1.861e+01
42,0.000e+00,1.867e+01
43,2.220e-16,1.859e+01
44,-2.864e-14,1.865e+01
45,0.000e+00,1.873e+01
46,0.000e+00,1.851e+01
47,0.000e+00,1.874e+01
48,-2.875e-14,1.866e+01
49,-2.875e-14,1.832e+01
50,-5.748e-14,1.860e+01
51,-2.864e-14,1.859e+01
52,-2.875e-14,1.864e+01
53,0.000e+00,1.865e+01
54,0.000e+00,1.870e+01
55,0.000e+00,1.864e+01
56,0.000e+00,1.870e+01
57,0.000e+00,1.865e+01
58,0.000e+00,1.844e+01
59,0.000e+00,1.873e+01
60,-2.220e-16,1.867e+01
61,-2.864e-14,1.867e+01
62,-2.875e-14,1.905e+01
63,0.000e+00,1.827e+01
64,-2.887e-14,1.865e+01
65,0.000e+00,1.863e+01
66,-2.875e-14,1.862e+01
67,0.000e+00,1.847e+01
68,0.000e+00,1.866e+01
69,0.000e+00,1.862e+01
70,0.000e+00,1.868e+01
71,-2.887e-14,1.871e+01
72,0.000e+00,1.854e+01
73,0.000e+00,1.872e+01
74,0.000e+00,1.864e+01
75,0.000e+00,1.939e+01
76,-5.750e-14,1.797e+01
77,0.000e+00,1.870e+01
78,-2.875e-14,1.867e+01
79,0.000e+00,1.861e+01
80,0.000e+00,1.877e+01
81,0.000e+00,1.852e+01
82,0.000e+00,7.114e+00
83,0.000e+00,1.027e+01
84,-2.864e-14,1.862e+01
85,-2.875e-14,1.865e+01
86,-2.875e-14,1.866e+01
87,0.000e+00,1.854e+01
88,0.000e+00,1.872e+01
89,-5.750e-14,1.866e+01
90,0.000e+00,1.864e+01
91,0.000e+00,1.862e+01
92,-5.751e-14,1.860e+01
93,0.000e+00,1.877e+01
94,0.000e+00,1.853e+01
95,-5.757e-14,1.954e+01
96,-2.875e-14,1.754e+01
97,0.000e+00,1.855e+01
98,0.000e+00,1.868e+01
99,0.000e+00,1.864e+01
100,0.000e+00,1.865e+01
101,0.000e+00,1.841e+01
102,-2.875e-14,1.869e+01
103,2.220e-16,1.866e+01
104,0.000e+00,1.960e+01
105,0.000e+00,1.880e+01
106,-5.748e-14,1.885e+01
107,-2.875e-14,1.854e+01
108,-2.875e-14,1.173e+01
109,0.000e+00,5.501e+00
110,0.000e+00,1.364e+01
111,-5.750e-14,3.465e+00
112,0.000e+00,1.877e+01
113,0.000e+00,1.864e+01
114,1.735e-18,6.171e+00
115,0.000e+00,1.110e+01
116,-2.875e-14,1.859e+01
117,0.000e+00,1.868e+01
118,0.000e+00,1.862e+01
119,0.000e+00,1.866e+01
120,-2.874e-14,1.865e+01
121,-2.220e-16,1.897e+01
122,-2.875e-14,3.837e+00
123,0.000e+00,1.315e+01
124,0.000e+00,1.856e+01
125,-2.875e-14,1.883e+01
126,0.000e+00,1.849e+01
127,0.000e+00,1.869e+01
128,-2.875e-14,1.866e+01
129,-2.887e-14,1.865e+01
130,0.000e+00,1.860e+01
131,0.000e+00,4.913e+00
132,0.000e+00,1.228e+01
133,0.000e+00,1.869e+01
134,0.000e+00,1.861e+01
135,-2.220e-16,1.863e+01
136,0.000e+00,3.982e+00
137,0.000e+00,1.328e+01
138,0.000e+00,1.875e+01
139,0.000e+00,1.866e+01
140,-2.875e-14,1.863e+01
141,0.000e+00,1.863e+01
142,0.000e+00,1.953e+01
143,-2.875e-14,1.756e+01
144,-2.874e-14,1.907e+01
145,-2.875e-14,1.854e+01
146,0.000e+00,1.857e+01
147,0.000e+00,1.849e+01
148,-2.875e-14,1.856e+01
149,-2.875e-14,1.554e+01
150,0.000e+00,1.879e+01
151,-2.220e-16,1.870e+01
152,0.000e+00,1.859e+01
153,0.000e+00,1.888e+01
154,0.000e+00,1.921e+01
155,0.000e+00,4.509e+00
156,0.000e+00,1.353e+01
157,0.000e+00,1.857e+01
158,0.000e+00,1.838e+01
159,-2.875e-14,1.866e+01
160,0.000e+00,1.858e+01
161,0.000e+00,1.859e+01
162,-2.864e-14,1.856e+01
163,-2.877e-14,1.958e+01
164,0.000e+00,1.856e+01
165,-2.875e-14,1.857e+01
166,0.000e+00,1.859e+01
167,0.000e+00,1.857e+01
168,0.000e+00,8.664e+00
169,0.000e+00,8.216e+00
170,0.000e+00,6.092e+00
171,0.000e+00,1.122e+01
172,0.000e+00,1.952e+01
173,2.220e-16,1.945e+01
174,-2.873e-14,1.863e+01
175,-2.864e-14,1.868e+01
176,0.000e+00,1.858e+01
177,-2.873e-14,1.857e+01
178,0.000e+00,1.856e+01
179,-2.220e-16,1.859e+01
180,0.000e+00,1.861e+01
181,-2.220e-16,5.329e+00
182,-2.220e-16,1.123e+01
183,-2.875e-14,1.955e+01
184,0.000e+00,1.951e+01
185,-2.875e-14,1.852e+01
186,-2.875e-14,1.857e+01
187,0.000e+00,1.853e+01
188,0.000e+00,1.851e+01
189,0.000e+00,1.856e+01
190,2.220e-16,1.853e+01
191,0.000e+00,1.871e+01
192,-2.875e-14,1.850e+01
193,0.000e+00,1.885e+01
194,-2.875e-14,1.906e+01
195,0.000e+00,1.851e+01
196,0.000e+00,1.855e+01
197,-2.875e-14,1.853e+01
198,0.000e+00,1.854e+01
199,-5.750e-14,1.855e+01
200,-2.875e-14,1.854e+01
201,-2.887e-14,1.856e+01
202,-2.875e-14,1.955e+01
203,0.000e+00,1.952e+01
204,0.000e+00,1.852e+01
205,0.000e+00,1.852e+01
206,0.000e+00,1.828e+01
207,0.000e+00,1.857e+01
208,-2.875e-14,1.854e+01
209,-2.875e-14,1.952e+01
210,0.000e+00,1.855e+01
211,0.000e+00,1.774e+01
212,0.000e+00,1.894e+01
213,0.000e+00,1.851e+01
214,-2.875e-14,1.853e+01
215,-2.875e-14,1.953e+01
216,0.000e+00,1.952e+01
217,-2.220e-16,1.852e+01
218,0.000e+00,1.855e+01
219,0.000e+00,1.854e+01
220,0.000e+00,1.851e+01
221,4.441e-16,1.892e+01
222,0.000e+00,1.852e+01
223,0.000e+00,1.856e+01
224,0.000e+00,1.855e+01
225,0.000e+00,1.852e+01
226,0.000e+00,1.853e+01
227,0.000e+00,1.845e+01
228,0.000e+00,1.113e+01
