multistart,objective value,elapsed time
1,-9.990e-08,1.479e-01
2,-9.574e-08,9.703e-02
3,-9.990e-08,7.127e-02
4,-9.990e-08,1.929e-01
5,-9.990e-08,1.323e-01
6,-9.990e-08,1.396e-01
7,-9.990e-08,1.102e-01
8,-9.990e-08,1.077e-01
9,-9.990e-08,1.197e-01
10,-9.990e-08,1.167e-01
11,-9.990e-08,1.697e-01
12,-9.990e-08,1.199e-01
13,-9.990e-08,1.146e-01
14,-9.990e-08,1.132e-01
15,-9.990e-08,1.103e-01
16,-9.575e-08,1.358e-01
17,-9.990e-08,1.152e-01
18,-9.990e-08,9.936e-02
19,-9.990e-08,1.566e-01
20,-9.990e-08,1.392e-01
21,-9.990e-08,1.116e-01
22,-9.990e-08,1.092e-01
23,-9.990e-08,1.681e-01
24,-9.990e-08,1.376e-01
25,-9.990e-08,1.497e-01
26,-9.990e-08,1.333e-01
27,-9.990e-08,1.227e-01
28,-9.875e-08,1.040e-01
29,-9.990e-08,9.592e-02
30,-9.990e-08,1.160e-01
31,-9.990e-08,8.333e-02
32,-9.990e-08,1.304e-01
33,-9.990e-08,1.319e-01
34,-9.990e-08,1.722e-01
35,-9.906e-08,1.324e-01
36,-9.990e-08,1.018e-01
37,-9.990e-08,1.126e-01
38,-9.990e-08,1.325e-01
39,-9.990e-08,8.893e-02
40,-9.990e-08,1.576e-01
41,-9.990e-08,1.362e-01
42,-9.990e-08,1.125e-01
43,-9.903e-08,1.303e-01
44,-9.990e-08,1.351e-01
45,-9.945e-08,1.027e-01
46,-9.512e-08,8.470e-02
47,-9.990e-08,1.129e-01
48,-9.990e-08,9.283e-02
49,-9.990e-08,1.135e-01
50,-9.990e-08,1.282e-01
51,-9.990e-08,2.143e-01
52,-9.990e-08,1.333e-01
53,-9.990e-08,1.289e-01
54,-9.990e-08,1.729e-01
55,-9.990e-08,6.861e-02
56,-9.990e-08,1.211e-01
57,-9.990e-08,1.384e-01
58,-9.990e-08,1.271e-01
59,-9.990e-08,1.057e-01
60,-9.990e-08,1.080e-01
61,-9.990e-08,1.288e-01
62,-9.990e-08,1.085e-01
63,-9.990e-08,1.043e-01
64,-9.990e-08,1.038e-01
65,-9.990e-08,1.429e-01
66,-9.990e-08,1.328e-01
67,-9.990e-08,1.447e-01
68,-9.990e-08,1.187e-01
69,-9.990e-08,1.345e-01
70,-9.990e-08,1.290e-01
71,-9.990e-08,9.923e-02
72,-9.990e-08,1.655e-01
73,-9.990e-08,1.046e-01
74,-9.990e-08,1.761e-01
75,-9.990e-08,6.975e-02
76,-9.990e-08,1.386e-01
77,-9.990e-08,1.356e-01
78,-9.990e-08,1.314e-01
79,-9.990e-08,8.424e-02
80,-9.990e-08,1.300e-01
81,-9.990e-08,9.096e-02
82,-9.990e-08,8.700e-02
83,-9.990e-08,1.699e-01
84,-9.990e-08,1.235e-01
85,-9.990e-08,7.823e-02
86,-9.990e-08,1.386e-01
87,-9.990e-08,1.761e-01
88,-9.990e-08,1.436e-01
89,-9.990e-08,1.570e-01
90,-9.717e-08,1.629e-01
91,-9.990e-08,1.495e-01
92,-9.990e-08,9.091e-02
93,-9.625e-08,1.096e-01
94,-9.990e-08,9.658e-02
95,-9.990e-08,1.070e-01
96,-9.990e-08,9.986e-02
97,-9.629e-08,1.555e-01
98,-9.955e-08,1.627e-01
99,-9.950e-08,1.012e-01
100,-9.990e-08,9.387e-02
101,-9.990e-08,1.556e-01
102,-9.990e-08,1.335e-01
103,-9.990e-08,1.645e-01
104,-9.990e-08,1.316e-01
105,-9.442e-08,1.234e-01
106,-9.990e-08,1.343e-01
107,-9.990e-08,1.123e-01
108,-9.990e-08,1.521e-01
109,-9.990e-08,8.258e-02
110,-9.990e-08,1.320e-01
111,-9.990e-08,1.445e-01
112,-9.990e-08,1.122e-01
113,-9.990e-08,6.737e-02
114,-9.990e-08,1.536e-01
115,-9.990e-08,1.542e-01
116,-9.990e-08,1.042e-01
117,-9.990e-08,1.206e-01
118,-9.990e-08,1.268e-01
119,-9.525e-08,1.101e-01
120,-9.990e-08,1.067e-01
121,-9.990e-08,1.403e-01
122,-9.990e-08,1.572e-01
123,-9.990e-08,1.075e-01
124,-9.990e-08,1.217e-01
125,-9.990e-08,1.115e-01
126,-9.990e-08,1.273e-01
127,-9.810e-08,7.444e-02
128,-9.990e-08,9.760e-02
129,-9.990e-08,7.592e-02
130,-9.990e-08,8.507e-02
131,-9.976e-08,8.778e-02
132,-9.990e-08,1.216e-01
133,-9.981e-08,1.199e-01
134,-9.990e-08,1.426e-01
135,-9.786e-08,1.349e-01
136,-9.990e-08,1.072e-01
137,-9.990e-08,1.130e-01
138,-9.990e-08,1.520e-01
139,-9.969e-08,1.334e-01
140,-9.990e-08,1.635e-01
141,-9.990e-08,9.546e-02
142,-9.990e-08,7.494e-02
143,-9.990e-08,1.358e-01
144,-9.990e-08,1.091e-01
145,-9.990e-08,1.361e-01
146,-9.925e-08,7.645e-02
147,-9.990e-08,7.727e-02
148,-9.990e-08,1.212e-01
149,-9.990e-08,1.172e-01
150,-9.990e-08,1.313e-01
151,-9.794e-08,1.257e-01
152,-9.990e-08,1.547e-01
153,-9.949e-08,9.205e-02
154,-9.990e-08,1.463e-01
155,-9.990e-08,1.434e-01
156,-9.990e-08,1.129e-01
157,-9.990e-08,1.180e-01
158,-9.990e-08,1.558e-01
159,-9.990e-08,1.591e-01
160,-9.990e-08,7.852e-02
161,-9.990e-08,1.088e-01
162,-9.990e-08,1.241e-01
163,-9.990e-08,1.270e-01
164,-9.990e-08,8.038e-02
165,-9.990e-08,1.503e-01
166,-9.990e-08,9.770e-02
167,-9.990e-08,1.152e-01
168,-9.990e-08,1.200e-01
169,-9.990e-08,1.580e-01
170,-9.990e-08,1.481e-01
171,-9.990e-08,1.323e-01
172,-9.857e-08,1.729e-01
173,-9.990e-08,1.329e-01
174,-9.990e-08,1.423e-01
175,-9.990e-08,1.424e-01
176,-9.990e-08,8.991e-02
177,-9.990e-08,9.581e-02
178,-9.990e-08,1.410e-01
179,-9.990e-08,1.291e-01
180,-9.990e-08,1.294e-01
181,-9.990e-08,1.464e-01
182,-9.990e-08,1.056e-01
183,-9.990e-08,9.218e-02
184,-9.990e-08,1.208e-01
185,-9.990e-08,1.226e-01
186,-9.990e-08,9.666e-02
187,-9.990e-08,1.149e-01
188,-9.990e-08,1.025e-01
189,-9.990e-08,9.060e-02
190,-9.990e-08,1.282e-01
191,-9.990e-08,1.426e-01
192,-9.990e-08,1.280e-01
193,-9.990e-08,1.765e-01
194,-9.990e-08,1.629e-01
195,-9.990e-08,1.413e-01
196,-9.990e-08,1.622e-01
197,-9.990e-08,1.012e-01
198,-9.990e-08,1.538e-01
199,-9.990e-08,1.120e-01
200,-9.990e-08,1.653e-01
201,-9.990e-08,8.571e-02
202,-9.990e-08,9.972e-02
203,-9.990e-08,1.628e-01
204,-9.990e-08,1.268e-01
205,-9.980e-08,1.118e-01
206,-9.990e-08,9.537e-02
207,-9.990e-08,1.369e-01
208,-9.990e-08,1.165e-01
209,-9.990e-08,1.799e-01
210,-9.990e-08,1.388e-01
211,-9.987e-08,8.851e-02
212,-9.990e-08,1.341e-01
213,-9.990e-08,1.256e-01
214,-9.990e-08,9.524e-02
215,-9.990e-08,1.142e-01
216,-9.990e-08,1.539e-01
217,-9.990e-08,1.111e-01
218,-9.990e-08,1.503e-01
219,-9.990e-08,8.406e-02
220,-9.990e-08,7.497e-02
221,-9.990e-08,1.623e-01
222,-9.990e-08,1.558e-01
223,-9.990e-08,1.291e-01
224,-9.990e-08,1.290e-01
225,-9.990e-08,1.593e-01
226,-9.990e-08,1.159e-01
227,-9.990e-08,1.018e-01
228,-9.990e-08,1.054e-01
229,-9.990e-08,1.193e-01
230,-9.990e-08,1.778e-01
231,-9.990e-08,1.402e-01
232,-9.990e-08,9.380e-02
233,-9.990e-08,9.405e-02
234,-9.990e-08,1.091e-01
