multistart,objective value,elapsed time
1,-9.990e-08,8.955e+00
2,-9.574e-08,1.894e+01
3,-9.990e-08,1.853e+01
4,-9.990e-08,1.960e+01
5,-9.990e-08,1.806e+01
6,-9.990e-08,1.875e+01
7,-9.990e-08,1.880e+01
8,-9.990e-08,1.885e+01
9,-9.990e-08,1.846e+01
10,-9.990e-08,1.889e+01
11,-9.990e-08,1.890e+01
12,-9.990e-08,1.895e+01
13,-9.990e-08,1.834e+01
14,-9.990e-08,1.840e+01
15,-9.990e-08,1.882e+01
16,-9.575e-08,1.885e+01
17,-9.990e-08,1.881e+01
18,-9.990e-08,1.875e+01
19,-9.990e-08,1.889e+01
20,-9.990e-08,1.869e+01
21,-9.990e-08,1.876e+01
22,-9.990e-08,1.881e+01
23,-9.990e-08,1.860e+01
24,-9.990e-08,1.858e+01
25,-9.990e-08,1.884e+01
26,-9.990e-08,1.878e+01
27,-9.990e-08,1.876e+01
28,-9.875e-08,1.921e+01
29,-9.990e-08,1.859e+01
30,-9.990e-08,1.864e+01
31,-9.990e-08,1.864e+01
32,-9.990e-08,1.859e+01
33,-9.990e-08,1.863e+01
34,-9.990e-08,1.908e+01
35,-9.906e-08,1.843e+01
36,-9.990e-08,1.852e+01
37,-9.990e-08,1.870e+01
38,-9.990e-08,1.874e+01
39,-9.990e-08,1.877e+01
40,-9.990e-08,1.887e+01
41,-9.990e-08,2.876e+00
42,-9.990e-08,1.475e+01
43,-9.903e-08,1.825e+01
44,-9.990e-08,1.855e+01
45,-9.945e-08,1.878e+01
46,-9.512e-08,1.892e+01
47,-9.990e-08,1.883e+01
48,-9.990e-08,1.885e+01
49,-9.990e-08,1.879e+01
50,-9.990e-08,1.952e+01
51,-9.990e-08,1.809e+01
52,-9.990e-08,1.877e+01
53,-9.990e-08,1.880e+01
54,-9.990e-08,1.892e+01
55,-9.990e-08,1.861e+01
56,-9.990e-08,1.897e+01
57,-9.990e-08,1.877e+01
58,-9.990e-08,1.885e+01
59,-9.990e-08,1.886e+01
60,-9.990e-08,1.887e+01
61,-9.990e-08,1.878e+01
62,-9.990e-08,1.892e+01
63,-9.990e-08,1.879e+01
64,-9.990e-08,1.877e+01
65,-9.990e-08,1.878e+01
66,-9.990e-08,1.898e+01
67,-9.990e-08,1.871e+01
68,-9.990e-08,1.885e+01
69,-9.990e-08,1.886e+01
70,-9.990e-08,1.877e+01
71,-9.990e-08,1.885e+01
72,-9.990e-08,1.878e+01
73,-9.990e-08,1.890e+01
74,-9.990e-08,1.878e+01
75,-9.990e-08,1.889e+01
76,-9.990e-08,1.890e+01
77,-9.990e-08,1.877e+01
78,-9.990e-08,1.890e+01
79,-9.990e-08,1.875e+01
80,-9.990e-08,1.897e+01
81,-9.990e-08,1.850e+01
82,-9.990e-08,1.877e+01
83,-9.990e-08,1.890e+01
84,-9.990e-08,1.884e+01
85,-9.990e-08,1.885e+01
86,-9.990e-08,1.884e+01
87,-9.990e-08,1.877e+01
88,-9.990e-08,1.887e+01
89,-9.990e-08,1.886e+01
90,-9.717e-08,1.885e+01
91,-9.990e-08,1.884e+01
92,-9.990e-08,1.887e+01
93,-9.625e-08,1.874e+01
94,-9.990e-08,1.887e+01
95,-9.990e-08,1.941e+01
96,-9.990e-08,1.827e+01
97,-9.629e-08,1.877e+01
98,-9.955e-08,1.886e+01
99,-9.950e-08,1.885e+01
100,-9.990e-08,1.879e+01
101,-9.990e-08,1.884e+01
102,-9.990e-08,1.889e+01
103,-9.990e-08,1.879e+01
104,-9.990e-08,1.884e+01
105,-9.442e-08,1.876e+01
106,-9.990e-08,1.889e+01
107,-9.990e-08,1.886e+01
108,-9.990e-08,1.874e+01
109,-9.990e-08,1.907e+01
110,-9.990e-08,3.930e+01
111,-9.990e-08,1.886e+01
112,-9.990e-08,1.885e+01
113,-9.990e-08,1.887e+01
114,-9.990e-08,1.886e+01
115,-9.990e-08,1.885e+01
116,-9.990e-08,1.888e+01
117,-9.990e-08,1.885e+01
118,-9.990e-08,1.886e+01
119,-9.525e-08,1.881e+01
120,-9.990e-08,1.882e+01
121,-9.990e-08,1.862e+01
122,-9.990e-08,1.878e+01
123,-9.990e-08,1.876e+01
124,-9.990e-08,1.901e+01
125,-9.990e-08,1.867e+01
126,-9.990e-08,1.886e+01
127,-9.810e-08,1.883e+01
128,-9.990e-08,1.883e+01
129,-9.990e-08,1.886e+01
130,-9.990e-08,1.888e+01
131,-9.976e-08,1.885e+01
132,-9.990e-08,1.883e+01
133,-9.981e-08,1.882e+01
134,-9.990e-08,1.886e+01
135,-9.786e-08,1.848e+01
136,-9.990e-08,1.847e+01
137,-9.990e-08,1.848e+01
138,-9.990e-08,1.875e+01
139,-9.969e-08,1.931e+01
140,-9.990e-08,1.848e+01
141,-9.990e-08,1.870e+01
142,-9.990e-08,1.884e+01
143,-9.990e-08,1.884e+01
144,-9.990e-08,1.880e+01
145,-9.990e-08,1.885e+01
146,-9.925e-08,1.884e+01
147,-9.990e-08,1.885e+01
148,-9.990e-08,1.883e+01
149,-9.990e-08,1.888e+01
150,-9.990e-08,1.886e+01
151,-9.794e-08,1.849e+01
152,-9.990e-08,1.860e+01
153,-9.949e-08,1.886e+01
154,-9.990e-08,1.957e+01
155,-9.990e-08,1.849e+01
156,-9.990e-08,1.848e+01
157,-9.990e-08,1.883e+01
158,-9.990e-08,1.884e+01
159,-9.990e-08,1.882e+01
160,-9.990e-08,1.865e+01
161,-9.990e-08,1.881e+01
162,-9.990e-08,1.886e+01
163,-9.990e-08,1.858e+01
164,-9.990e-08,1.907e+01
165,-9.990e-08,1.883e+01
166,-9.990e-08,1.894e+01
167,-9.990e-08,1.847e+01
168,-9.990e-08,1.865e+01
169,-9.990e-08,1.890e+01
170,-9.990e-08,1.878e+01
171,-9.990e-08,1.886e+01
172,-9.857e-08,1.884e+01
173,-9.990e-08,1.884e+01
174,-9.990e-08,1.887e+01
175,-9.990e-08,1.885e+01
176,-9.990e-08,1.884e+01
177,-9.990e-08,1.885e+01
178,-9.990e-08,1.883e+01
179,-9.990e-08,1.884e+01
180,-9.990e-08,1.881e+01
181,-9.990e-08,1.883e+01
182,-9.990e-08,1.884e+01
183,-9.990e-08,1.847e+01
184,-9.990e-08,1.844e+01
185,-9.990e-08,1.849e+01
186,-9.990e-08,1.888e+01
187,-9.990e-08,1.883e+01
188,-9.990e-08,1.879e+01
189,-9.990e-08,1.886e+01
190,-9.990e-08,1.887e+01
191,-9.990e-08,1.886e+01
192,-9.990e-08,1.881e+01
193,-9.990e-08,1.885e+01
194,-9.990e-08,1.883e+01
195,-9.990e-08,1.873e+01
196,-9.990e-08,1.885e+01
197,-9.990e-08,1.885e+01
198,-9.990e-08,1.882e+01
199,-9.990e-08,1.913e+01
200,-9.990e-08,1.845e+01
201,-9.990e-08,1.862e+01
202,-9.990e-08,1.882e+01
203,-9.990e-08,1.885e+01
204,-9.990e-08,1.886e+01
205,-9.980e-08,1.881e+01
206,-9.990e-08,1.885e+01
207,-9.990e-08,1.911e+01
208,-9.990e-08,1.863e+01
209,-9.990e-08,1.876e+01
210,-9.990e-08,1.881e+01
211,-9.987e-08,1.885e+01
212,-9.990e-08,1.886e+01
213,-9.990e-08,1.881e+01
214,-9.990e-08,1.878e+01
215,-9.990e-08,1.849e+01
216,-9.990e-08,1.848e+01
217,-9.990e-08,1.850e+01
218,-9.990e-08,1.879e+01
219,-9.990e-08,1.869e+01
220,-9.990e-08,1.881e+01
221,-9.990e-08,1.914e+01
222,-9.990e-08,1.846e+01
223,-9.990e-08,1.876e+01
224,-9.990e-08,1.877e+01
225,-9.990e-08,1.875e+01
226,-9.990e-08,1.879e+01
227,-9.990e-08,1.881e+01
228,-9.990e-08,1.893e+01
229,-9.990e-08,1.908e+01
230,-9.990e-08,1.856e+01
231,-9.990e-08,1.456e+01
232,-9.990e-08,1.856e+01
233,-9.990e-08,1.856e+01
234,-9.990e-08,1.856e+01
235,-9.990e-08,1.872e+01
236,-9.990e-08,1.859e+01
237,-9.990e-08,1.881e+01
238,-9.990e-08,1.868e+01
239,-9.990e-08,1.881e+01
240,-9.990e-08,1.882e+01
241,-9.990e-08,1.878e+01
242,-9.990e-08,1.881e+01
243,-9.990e-08,1.880e+01
244,-9.990e-08,1.936e+01
245,-9.990e-08,1.855e+01
246,-9.990e-08,1.858e+01
247,-9.990e-08,1.757e+01
248,-9.990e-08,1.858e+01
249,-9.522e-08,1.824e+01
250,-9.990e-08,1.883e+01
251,-9.990e-08,1.878e+01
252,-9.990e-08,1.881e+01
253,-9.990e-08,1.864e+01
254,-9.990e-08,1.883e+01
255,-9.990e-08,1.874e+01
256,-9.990e-08,1.870e+01
257,-9.990e-08,1.882e+01
258,-9.990e-08,1.880e+01
259,-9.990e-08,2.259e+01
260,-9.990e-08,1.547e+01
261,-9.955e-08,1.848e+01
262,-9.990e-08,1.866e+01
263,-9.990e-08,1.849e+01
264,-9.990e-08,1.926e+01
265,-9.990e-08,1.848e+01
266,-9.990e-08,1.887e+01
267,-9.990e-08,1.850e+01
268,-9.990e-08,1.877e+01
269,-9.990e-08,8.546e+00
270,-9.990e-08,8.973e+00
271,-9.990e-08,1.899e+01
272,-9.990e-08,1.865e+01
273,-9.990e-08,1.878e+01
274,-9.990e-08,1.880e+01
275,-9.990e-08,1.907e+01
276,-9.990e-08,1.852e+01
277,-9.990e-08,1.882e+01
278,-9.990e-08,1.878e+01
279,-9.990e-08,1.881e+01
280,-9.990e-08,1.852e+01
281,-9.990e-08,1.878e+01
282,-9.990e-08,1.946e+01
283,-9.990e-08,1.200e+01
284,-9.990e-08,5.396e+00
285,-9.990e-08,1.846e+01
286,-9.990e-08,1.862e+01
287,-9.990e-08,1.970e+01
288,-9.990e-08,1.846e+01
289,-9.974e-08,1.848e+01
290,-9.990e-08,1.859e+01
291,-9.990e-08,1.919e+01
292,-9.931e-08,1.874e+01
293,-9.990e-08,1.846e+01
294,-9.990e-08,1.920e+01
295,-9.990e-08,1.846e+01
296,-9.990e-08,1.874e+01
297,-9.990e-08,1.848e+01
298,-9.990e-08,1.874e+01
299,-9.990e-08,1.874e+01
300,-9.793e-08,1.884e+01
301,-9.779e-08,1.882e+01
302,-9.942e-08,1.881e+01
303,-9.990e-08,1.909e+01
304,-9.990e-08,1.881e+01
305,-9.990e-08,1.874e+01
306,-9.990e-08,1.847e+01
307,-9.990e-08,1.884e+01
308,-9.990e-08,1.883e+01
309,-9.990e-08,1.928e+01
310,-9.990e-08,1.891e+01
311,-9.599e-08,1.848e+01
312,-9.566e-08,1.854e+01
313,-9.990e-08,1.882e+01
314,-9.990e-08,1.883e+01
315,-9.990e-08,1.882e+01
316,-9.990e-08,1.880e+01
317,-9.990e-08,1.883e+01
318,-9.990e-08,1.884e+01
319,-9.990e-08,1.882e+01
320,-9.990e-08,1.880e+01
321,-9.990e-08,1.865e+01
322,-9.990e-08,1.849e+01
323,-9.990e-08,1.851e+01
324,-9.990e-08,1.882e+01
325,-9.990e-08,1.870e+01
326,-9.990e-08,1.881e+01
327,-9.990e-08,1.882e+01
328,-9.990e-08,1.847e+01
329,-9.990e-08,1.875e+01
330,-9.990e-08,1.881e+01
331,-9.714e-08,1.882e+01
332,-9.990e-08,1.870e+01
333,-9.841e-08,1.920e+01
334,-9.990e-08,1.847e+01
335,-9.990e-08,1.880e+01
336,-9.990e-08,1.914e+01
337,-9.990e-08,1.859e+01
338,-9.990e-08,1.875e+01
339,-9.990e-08,1.880e+01
340,-9.990e-08,1.874e+01
341,-9.990e-08,1.883e+01
342,-9.990e-08,1.880e+01
343,-9.990e-08,1.910e+01
344,-9.990e-08,1.747e+01
345,-9.990e-08,1.874e+01
346,-9.770e-08,1.882e+01
347,-9.990e-08,1.887e+01
348,-9.990e-08,1.877e+01
349,-9.990e-08,1.881e+01
350,-9.990e-08,1.882e+01
351,-9.990e-08,1.950e+01
352,-9.990e-08,1.847e+01
353,-9.990e-08,1.851e+01
354,-9.990e-08,1.872e+01
355,-9.990e-08,1.901e+01
356,-9.990e-08,1.860e+01
357,-9.990e-08,1.949e+01
358,-9.990e-08,1.846e+01
359,-9.990e-08,1.852e+01
360,-9.990e-08,1.747e+01
361,-9.990e-08,1.846e+01
362,-9.990e-08,1.863e+01
363,-9.990e-08,1.883e+01
364,-9.929e-08,1.883e+01
365,-9.990e-08,1.040e+01
366,-9.990e-08,7.400e+00
367,-9.786e-08,1.863e+01
368,-9.990e-08,1.887e+01
369,-9.990e-08,1.874e+01
370,-9.990e-08,1.880e+01
371,-9.990e-08,1.884e+01
372,-9.990e-08,1.880e+01
373,-9.990e-08,1.887e+01
374,-9.990e-08,1.882e+01
375,-9.990e-08,1.878e+01
376,-9.990e-08,1.883e+01
377,-9.990e-08,1.846e+01
378,-9.990e-08,1.847e+01
379,-9.990e-08,3.837e+01
