multistart,objective value,elapsed time
1,-2.040e-14,7.069e-02
2,-1.387e-14,9.008e-02
3,-3.686e-14,7.580e-02
4,-7.866e-17,9.236e-02
5,-4.033e-14,1.034e-01
6,-4.889e-14,8.238e-02
7,-4.393e-14,1.684e-01
8,-3.334e-14,1.298e-01
9,-3.092e-14,9.962e-02
10,-3.280e-14,1.194e-01
11,-3.612e-13,9.805e-02
12,-3.611e-13,9.099e-02
13,-3.465e-14,1.176e-01
14,-3.876e-14,1.155e-01
15,-5.113e-14,8.391e-02
16,-1.411e-14,1.100e-01
17,-5.507e-14,8.676e-02
18,-2.043e-14,1.263e-01
19,-4.898e-14,8.047e-02
20,-5.452e-14,7.926e-02
21,-3.907e-14,9.416e-02
22,-5.057e-14,1.089e-01
23,-5.582e-14,1.311e-01
24,-5.295e-14,1.185e-01
25,-2.770e-13,8.654e-02
26,-4.676e-14,1.203e-01
27,-3.612e-13,1.011e-01
28,-1.761e-14,1.091e-01
29,-4.131e-14,1.238e-01
30,-3.611e-13,1.064e-01
31,-5.553e-14,9.278e-02
32,-2.058e-17,1.121e-01
33,-4.310e-14,1.186e-01
34,-3.738e-14,1.081e-01
35,-1.198e-14,7.560e-02
36,-4.587e-14,9.241e-02
37,-1.961e-14,1.077e-01
38,-2.770e-13,1.003e-01
39,-5.728e-17,1.030e-01
40,-1.890e-14,1.184e-01
41,-5.140e-14,9.739e-02
42,-3.143e-14,1.369e-01
43,-1.169e-14,1.189e-01
44,-5.237e-14,9.528e-02
45,-1.086e-14,1.053e-01
46,-3.611e-13,9.108e-02
47,-7.211e-16,1.029e-01
48,-5.537e-14,8.919e-02
49,-5.094e-14,1.030e-01
50,-2.770e-13,1.029e-01
51,-5.124e-14,1.120e-01
52,-4.866e-14,1.025e-01
53,-1.007e-15,9.325e-02
54,-4.796e-14,1.143e-01
55,-2.145e-17,9.298e-02
56,-5.080e-14,7.231e-02
57,-1.688e-14,9.641e-02
58,-3.438e-14,1.044e-01
59,-1.267e-14,1.023e-01
60,-1.918e-14,8.621e-02
61,-5.282e-14,1.027e-01
62,-5.141e-14,1.203e-01
63,-2.094e-14,1.086e-01
64,-5.272e-14,9.528e-02
65,-1.074e-16,6.765e-02
66,-5.077e-14,8.657e-02
67,-1.100e-16,1.039e-01
68,-1.131e-15,1.054e-01
69,-1.696e-14,1.495e-01
70,-3.612e-13,8.653e-02
71,-5.239e-14,9.253e-02
72,-3.611e-13,1.198e-01
73,-5.109e-16,1.129e-01
74,-4.691e-14,1.125e-01
75,3.022e-16,6.926e-02
76,-2.788e-13,8.108e-02
77,-3.773e-14,1.150e-01
78,-5.459e-14,1.516e-01
79,9.232e-16,1.130e-01
80,-4.092e-14,9.382e-02
81,-3.476e-14,7.690e-02
82,-3.612e-13,6.174e-02
83,-3.010e-14,7.924e-02
84,-5.282e-14,1.286e-01
85,-5.465e-14,9.363e-02
86,-5.355e-14,1.119e-01
87,-2.996e-14,1.029e-01
88,-3.936e-14,1.029e-01
89,-2.770e-13,1.238e-01
90,-1.374e-14,1.133e-01
91,-2.196e-14,7.494e-02
92,-2.770e-13,1.074e-01
93,-1.342e-14,1.051e-01
94,-3.440e-14,1.147e-01
95,-5.574e-14,1.034e-01
96,-4.592e-14,1.134e-01
97,-1.427e-14,1.155e-01
98,-1.598e-14,8.561e-02
99,-1.604e-14,1.068e-01
100,-1.064e-16,1.177e-01
