multistart,objective value,elapsed time
1,-2.040e-14,2.851e+00
2,-1.387e-14,1.868e+01
3,-3.686e-14,2.886e+00
4,-7.866e-17,1.577e+01
5,-4.033e-14,1.809e+01
6,-4.889e-14,1.880e+01
7,-4.393e-14,1.880e+01
8,-3.334e-14,1.885e+01
9,-3.092e-14,1.879e+01
10,-3.280e-14,1.886e+01
11,-3.612e-13,1.879e+01
12,-3.611e-13,1.888e+01
13,-3.465e-14,1.877e+01
14,-3.876e-14,1.888e+01
15,-5.113e-14,1.877e+01
16,-1.411e-14,1.883e+01
17,-5.507e-14,1.860e+01
18,-2.043e-14,1.924e+01
19,-4.898e-14,1.827e+01
20,-5.452e-14,1.883e+01
21,-3.907e-14,1.879e+01
22,-5.057e-14,1.886e+01
23,-5.582e-14,1.878e+01
24,-5.295e-14,1.882e+01
25,-2.770e-13,1.892e+01
26,-4.676e-14,1.877e+01
27,-3.612e-13,1.953e+01
28,-1.761e-14,1.717e+01
29,-4.131e-14,1.976e+01
30,-3.611e-13,1.887e+01
31,-5.553e-14,1.878e+01
32,-2.058e-17,1.888e+01
33,-4.310e-14,1.876e+01
34,-3.738e-14,1.880e+01
35,-1.198e-14,1.886e+01
36,-4.587e-14,1.880e+01
37,-1.961e-14,1.887e+01
38,-2.770e-13,1.868e+01
39,-5.728e-17,1.898e+01
40,-1.890e-14,1.878e+01
41,-5.140e-14,1.890e+01
42,-3.143e-14,1.878e+01
43,-1.169e-14,1.889e+01
44,-5.237e-14,1.875e+01
45,-1.086e-14,1.889e+01
46,-3.611e-13,1.880e+01
47,-7.211e-16,1.901e+01
48,-5.537e-14,1.832e+01
49,-5.094e-14,1.881e+01
50,-2.770e-13,1.891e+01
51,-5.124e-14,3.546e+01
52,-4.866e-14,1.872e+01
53,-1.007e-15,1.837e+01
54,-4.796e-14,1.882e+01
55,-2.145e-17,1.881e+01
56,-5.080e-14,1.883e+01
57,-1.688e-14,1.884e+01
58,-3.438e-14,1.884e+01
59,-1.267e-14,1.880e+01
60,-1.918e-14,1.975e+01
61,-5.282e-14,1.892e+01
62,-5.141e-14,1.491e+01
63,-2.094e-14,3.765e+00
64,-5.272e-14,1.977e+01
65,-1.074e-16,1.958e+01
66,-5.077e-14,1.859e+01
67,-1.100e-16,1.309e+01
68,-1.131e-15,4.117e+00
69,-1.696e-14,1.885e+01
70,-3.612e-13,1.879e+01
71,-5.239e-14,1.979e+01
