multistart,objective value,elapsed time
1,-7.499e-08,1.253e-01
2,-7.499e-08,1.093e-01
3,-7.499e-08,1.125e-01
4,-7.499e-08,1.052e-01
5,-7.500e-08,1.110e-01
6,-7.499e-08,1.105e-01
7,-7.499e-08,1.056e-01
8,-7.499e-08,1.079e-01
9,-7.499e-08,1.143e-01
10,-7.499e-08,1.057e-01
11,-7.499e-08,1.082e-01
12,-7.499e-08,1.090e-01
13,-7.499e-08,1.327e-01
14,-7.500e-08,1.079e-01
15,-7.499e-08,1.110e-01
16,-7.499e-08,1.071e-01
17,-7.499e-08,1.088e-01
18,-7.499e-08,1.049e-01
19,-7.499e-08,1.090e-01
20,-7.499e-08,1.100e-01
21,-7.500e-08,1.103e-01
22,-7.499e-08,1.071e-01
23,-7.499e-08,1.133e-01
24,-7.499e-08,1.107e-01
25,-7.499e-08,1.110e-01
26,-7.499e-08,1.056e-01
27,-7.499e-08,1.072e-01
28,-7.499e-08,1.082e-01
29,-7.499e-08,1.104e-01
30,-7.499e-08,1.089e-01
31,-7.499e-08,1.310e-01
32,-7.499e-08,1.005e-01
33,-7.499e-08,1.107e-01
34,-7.499e-08,1.170e-01
35,-7.499e-08,1.055e-01
36,-7.499e-08,1.119e-01
37,-7.499e-08,1.084e-01
38,-7.499e-08,1.101e-01
39,-7.499e-08,9.993e-02
40,-7.499e-08,1.207e-01
41,-7.499e-08,1.113e-01
42,-7.499e-08,1.072e-01
43,-7.499e-08,1.054e-01
44,-7.499e-08,1.109e-01
45,-7.499e-08,1.057e-01
46,-7.499e-08,1.108e-01
47,-7.499e-08,9.982e-02
48,-7.499e-08,1.102e-01
49,-7.499e-08,1.075e-01
50,-7.499e-08,1.130e-01
51,-7.499e-08,1.080e-01
52,-7.499e-08,1.098e-01
53,-7.499e-08,1.062e-01
54,-7.499e-08,1.098e-01
55,-7.499e-08,9.773e-02
56,-7.499e-08,1.102e-01
57,-7.499e-08,1.061e-01
58,-7.499e-08,1.150e-01
59,-7.499e-08,1.056e-01
60,-7.499e-08,1.084e-01
61,-7.499e-08,1.095e-01
62,-7.499e-08,1.120e-01
63,-7.499e-08,1.048e-01
64,-7.499e-08,1.115e-01
65,-7.499e-08,1.032e-01
66,-7.499e-08,1.127e-01
67,-7.499e-08,1.046e-01
68,-7.499e-08,9.979e-02
69,-7.499e-08,1.066e-01
70,-7.499e-08,1.139e-01
71,-7.499e-08,1.115e-01
72,-7.499e-08,1.066e-01
73,-7.499e-08,9.824e-02
74,-7.499e-08,1.096e-01
75,-7.499e-08,1.027e-01
76,-7.499e-08,1.118e-01
77,-7.499e-08,1.668e-01
78,-7.499e-08,1.183e-01
79,-7.499e-08,1.073e-01
80,-7.499e-08,1.107e-01
81,-7.499e-08,1.083e-01
82,-7.499e-08,1.134e-01
83,-7.499e-08,1.093e-01
84,-7.499e-08,1.094e-01
85,-7.499e-08,1.098e-01
86,-7.499e-08,1.105e-01
87,-7.499e-08,1.061e-01
88,-7.500e-08,1.049e-01
89,-7.499e-08,1.088e-01
90,-7.499e-08,1.074e-01
91,-7.499e-08,1.070e-01
92,-7.499e-08,1.091e-01
93,-7.499e-08,1.062e-01
94,-7.499e-08,1.071e-01
95,-7.499e-08,1.107e-01
96,-7.499e-08,1.120e-01
97,-7.499e-08,1.082e-01
98,-7.499e-08,1.051e-01
99,-7.499e-08,1.093e-01
100,-7.499e-08,1.007e-01
101,-7.499e-08,1.092e-01
102,-7.499e-08,1.139e-01
103,-7.499e-08,1.057e-01
104,-7.499e-08,1.058e-01
105,-7.499e-08,1.137e-01
106,-7.499e-08,1.114e-01
107,-7.499e-08,1.103e-01
108,-7.499e-08,1.113e-01
109,-7.499e-08,1.063e-01
110,-7.499e-08,1.062e-01
111,-7.499e-08,1.162e-01
112,-7.499e-08,1.043e-01
113,-7.499e-08,1.030e-01
114,-7.499e-08,1.152e-01
115,-7.499e-08,1.117e-01
116,-7.499e-08,1.069e-01
117,-7.499e-08,1.121e-01
118,-7.499e-08,1.115e-01
119,-7.499e-08,1.074e-01
120,-7.499e-08,1.094e-01
121,-7.499e-08,1.178e-01
122,-7.499e-08,1.130e-01
123,-7.500e-08,1.117e-01
124,-7.499e-08,1.103e-01
125,-7.499e-08,1.112e-01
126,-7.499e-08,1.144e-01
127,-7.499e-08,1.131e-01
128,-7.499e-08,1.145e-01
129,-7.499e-08,1.147e-01
130,-7.499e-08,1.089e-01
131,-7.499e-08,1.034e-01
132,-7.499e-08,1.110e-01
133,-7.499e-08,1.085e-01
134,-7.499e-08,1.086e-01
135,-7.499e-08,1.095e-01
136,-7.499e-08,1.116e-01
137,-7.499e-08,1.186e-01
138,-7.499e-08,1.052e-01
139,-7.499e-08,1.112e-01
140,-7.499e-08,1.107e-01
141,-7.499e-08,1.090e-01
142,-7.499e-08,1.078e-01
143,-7.499e-08,1.107e-01
144,-7.499e-08,1.116e-01
145,-7.499e-08,1.090e-01
146,-7.499e-08,9.780e-02
147,-7.499e-08,1.051e-01
148,-7.499e-08,1.134e-01
149,-7.499e-08,1.104e-01
150,-7.499e-08,1.090e-01
151,-7.499e-08,1.052e-01
152,-7.499e-08,1.065e-01
153,-7.499e-08,1.019e-01
154,-7.499e-08,1.157e-01
155,-7.499e-08,1.002e-01
156,-7.499e-08,1.087e-01
157,-7.500e-08,1.112e-01
158,-7.499e-08,1.188e-01
159,-7.499e-08,1.107e-01
160,-7.499e-08,1.054e-01
161,-7.499e-08,1.089e-01
162,-7.499e-08,1.159e-01
163,-7.499e-08,1.128e-01
164,-7.499e-08,9.872e-02
165,-7.499e-08,1.123e-01
166,-7.499e-08,1.081e-01
167,-7.499e-08,1.090e-01
168,-7.500e-08,1.090e-01
169,-7.499e-08,1.084e-01
170,-7.499e-08,1.126e-01
171,-7.499e-08,1.108e-01
172,-7.499e-08,1.034e-01
173,-7.499e-08,1.088e-01
174,-7.499e-08,1.131e-01
175,-7.499e-08,1.103e-01
176,-7.499e-08,1.016e-01
177,-7.499e-08,1.099e-01
178,-7.499e-08,1.115e-01
179,-7.499e-08,1.113e-01
180,-7.499e-08,1.076e-01
181,-7.499e-08,1.054e-01
182,-7.499e-08,1.087e-01
183,-7.499e-08,1.106e-01
184,-7.501e-08,1.044e-01
185,-7.499e-08,1.118e-01
186,-7.499e-08,1.083e-01
187,-7.499e-08,1.073e-01
188,-7.499e-08,1.067e-01
189,-7.500e-08,1.061e-01
190,-7.499e-08,1.042e-01
191,-7.499e-08,1.048e-01
192,-7.499e-08,1.085e-01
193,-7.499e-08,1.075e-01
194,-7.499e-08,1.091e-01
195,-7.499e-08,1.094e-01
196,-7.499e-08,1.072e-01
197,-7.499e-08,1.114e-01
198,-7.499e-08,1.013e-01
199,-7.499e-08,1.096e-01
200,-7.499e-08,1.121e-01
201,-7.499e-08,1.114e-01
202,-7.499e-08,1.104e-01
203,-7.499e-08,1.166e-01
204,-7.499e-08,1.093e-01
205,-7.499e-08,1.063e-01
206,-7.499e-08,1.140e-01
207,-7.499e-08,1.097e-01
208,-7.499e-08,1.109e-01
209,-7.499e-08,1.112e-01
210,-7.499e-08,1.102e-01
211,-7.499e-08,1.038e-01
212,-7.499e-08,1.116e-01
213,-7.499e-08,1.098e-01
214,-7.499e-08,1.071e-01
215,-7.499e-08,1.144e-01
216,-7.499e-08,1.049e-01
217,-7.499e-08,1.079e-01
218,-7.499e-08,1.086e-01
219,-7.499e-08,1.099e-01
220,-7.499e-08,1.212e-01
221,-7.499e-08,1.074e-01
222,-7.499e-08,1.085e-01
223,-7.499e-08,1.059e-01
224,-7.499e-08,1.118e-01
225,-7.499e-08,1.127e-01
226,-7.499e-08,3.034e-01
227,-7.499e-08,2.512e-01
228,-7.499e-08,2.095e-01
229,-7.499e-08,2.097e-01
230,-7.499e-08,2.126e-01
231,-7.499e-08,2.016e-01
232,-7.499e-08,2.114e-01
233,-7.499e-08,1.929e-01
234,-7.499e-08,1.582e-01
235,-7.499e-08,1.307e-01
236,-7.499e-08,1.354e-01
237,-7.499e-08,1.384e-01
238,-7.499e-08,1.452e-01
239,-7.499e-08,1.556e-01
240,-7.499e-08,1.502e-01
241,-7.499e-08,1.335e-01
242,-7.499e-08,1.262e-01
243,-7.499e-08,1.294e-01
244,-7.499e-08,1.640e-01
245,-7.499e-08,2.352e-01
246,-7.499e-08,1.738e-01
247,-7.499e-08,1.662e-01
248,-7.501e-08,1.343e-01
249,-7.499e-08,1.251e-01
250,-7.499e-08,1.218e-01
251,-7.499e-08,1.277e-01
252,-7.499e-08,1.343e-01
253,-7.500e-08,1.221e-01
