multistart,objective value,elapsed time
1,-2.244e+12,1.216e-01
2,-2.167e+12,1.529e-01
3,-2.027e+12,1.232e-01
4,-2.128e+12,1.029e-01
5,-1.749e+01,2.154e-01
6,-2.205e+12,1.117e-01
7,-1.660e+01,1.554e-01
8,-2.072e+01,2.611e-01
9,-2.439e+12,1.800e-01
10,-5.172e+00,1.314e-01
11,-1.762e+12,1.409e-01
12,-2.208e+12,1.267e-01
13,-2.506e+12,1.171e-01
14,-2.082e+01,2.232e-01
15,-3.069e+12,1.380e-01
16,-2.233e+12,1.183e-01
17,-5.003e+00,2.113e-01
18,-2.424e+12,1.362e-01
19,-2.092e+12,1.119e-01
20,-7.639e+00,1.956e-01
21,-2.281e+12,1.220e-01
22,-1.013e+01,1.774e-01
23,-2.576e+12,1.127e-01
24,-1.940e+12,1.462e-01
25,-5.933e+00,1.943e-01
26,-2.684e+12,1.244e-01
27,-2.037e+12,1.027e-01
28,-2.471e+12,9.672e-02
29,-2.561e+01,2.074e-01
30,-2.340e+12,1.264e-01
31,-2.490e+12,1.060e-01
32,4.339e+03,1.440e-01
33,-1.397e+12,1.738e-01
34,-3.762e+01,1.922e-01
35,-2.501e+12,1.148e-01
36,-1.458e+01,1.816e-01
37,-2.406e+12,1.260e-01
38,-6.069e+00,2.249e-01
39,-2.573e+03,1.669e-01
40,-2.717e+12,1.096e-01
41,-1.545e+12,1.795e-01
42,-1.949e+12,1.338e-01
43,-2.613e+12,1.002e-01
44,-2.174e+12,1.302e-01
45,-2.645e+12,1.222e-01
46,-2.648e+12,1.141e-01
47,-2.076e+12,1.121e-01
48,-1.499e+12,1.632e-01
49,-2.402e+12,1.056e-01
50,-2.624e+12,1.231e-01
51,-3.891e+10,1.401e-01
52,-2.316e+12,1.035e-01
53,-2.142e+12,1.284e-01
54,-9.795e+00,2.118e-01
55,-2.420e+12,1.368e-01
56,-9.645e+00,2.195e-01
57,-2.103e+12,1.088e-01
58,-2.275e+01,1.890e-01
59,-2.523e+12,1.570e-01
60,-2.447e+12,1.200e-01
61,-2.118e+12,1.433e-01
62,-2.793e+12,1.177e-01
63,-2.307e+12,1.438e-01
64,-1.207e+01,1.950e-01
65,-2.479e+12,1.489e-01
66,-2.703e+12,1.349e-01
67,-2.520e+12,1.250e-01
68,-2.532e+12,1.298e-01
69,-2.348e+12,1.082e-01
70,-2.437e+12,1.016e-01
71,-6.572e+00,1.783e-01
72,-2.155e+01,1.803e-01
73,-2.376e+12,1.577e-01
74,-1.068e+01,1.826e-01
75,-2.251e+12,1.235e-01
76,-4.878e+00,2.084e-01
77,-2.532e+12,1.200e-01
78,-7.575e+00,1.962e-01
79,-2.268e+12,1.134e-01
80,-2.463e+01,1.671e-01
81,-2.274e+01,1.776e-01
82,-2.354e+12,1.265e-01
83,-2.289e+12,1.104e-01
84,-2.399e+12,1.134e-01
85,-2.203e+12,1.139e-01
86,-8.194e+00,1.957e-01
87,1.040e+03,1.516e-01
88,-2.047e+01,2.316e-01
89,-2.527e+12,1.403e-01
90,-2.263e+12,1.153e-01
91,-2.142e+12,1.250e-01
92,-6.198e+00,2.220e-01
93,-2.243e+12,1.204e-01
94,-2.322e+12,1.258e-01
95,-7.603e+00,2.125e-01
96,-2.765e+12,1.423e-01
97,-2.555e+12,1.259e-01
98,-2.368e+12,1.281e-01
99,-2.197e+12,1.307e-01
100,-2.183e+12,1.414e-01
