multistart,objective value,elapsed time
1,-2.875e-14,1.940e-01
2,-2.875e-14,1.453e-01
3,-2.875e-14,2.117e-01
4,0.000e+00,2.042e-01
5,-2.964e-14,1.599e-01
6,-2.875e-14,1.637e-01
7,-2.789e-14,2.194e-01
8,-2.875e-14,2.052e-01
9,-2.876e-14,1.649e-01
10,-2.875e-14,1.478e-01
11,-2.875e-14,2.147e-01
12,-2.853e-14,1.642e-01
13,-2.875e-14,3.594e-01
14,-2.875e-14,1.830e-01
15,-2.831e-14,1.516e-01
16,-2.875e-14,1.822e-01
17,-5.718e-14,1.413e-01
18,-2.875e-14,2.352e-01
19,-3.008e-14,1.618e-01
20,-5.707e-14,2.073e-01
21,-2.834e-14,1.796e-01
22,-2.875e-14,2.138e-01
23,-8.557e-14,1.700e-01
24,-2.875e-14,2.473e-01
25,-5.718e-14,1.702e-01
26,-2.875e-14,1.802e-01
27,-2.875e-14,1.781e-01
28,-2.875e-14,1.413e-01
29,-2.875e-14,2.249e-01
30,-2.853e-14,2.026e-01
31,-8.560e-14,1.953e-01
32,0.000e+00,1.838e-01
33,-2.920e-14,1.722e-01
34,-2.875e-14,1.328e-01
35,-2.875e-14,1.073e-01
36,-3.064e-14,1.447e-01
37,-2.875e-14,1.992e-01
38,-5.706e-14,1.736e-01
39,0.000e+00,1.774e-01
40,-2.881e-14,1.288e-01
41,-2.787e-14,1.857e-01
42,-2.875e-14,1.466e-01
43,-2.875e-14,1.849e-01
44,-2.875e-14,1.745e-01
45,-2.875e-14,1.669e-01
46,-2.875e-14,1.549e-01
47,0.000e+00,1.645e-01
48,-5.629e-14,2.028e-01
49,-2.875e-14,1.703e-01
50,-5.718e-14,1.830e-01
51,-2.964e-14,1.592e-01
52,-2.875e-14,1.557e-01
53,0.000e+00,1.368e-01
54,-2.875e-14,2.252e-01
55,0.000e+00,1.608e-01
56,-2.742e-14,1.969e-01
57,-2.875e-14,2.067e-01
58,-2.831e-14,2.375e-01
59,-2.875e-14,1.739e-01
60,-2.875e-14,2.091e-01
61,-2.876e-14,2.037e-01
62,-2.964e-14,1.999e-01
63,-2.875e-14,1.389e-01
64,-2.520e-14,2.150e-01
65,0.000e+00,1.975e-01
66,-2.875e-14,1.741e-01
67,0.000e+00,1.440e-01
68,0.000e+00,1.826e-01
69,-2.875e-14,2.078e-01
70,-2.898e-14,2.161e-01
71,-2.875e-14,1.439e-01
72,-2.887e-14,1.619e-01
73,0.000e+00,1.864e-01
74,-2.742e-14,1.847e-01
75,0.000e+00,1.349e-01
76,-5.707e-14,1.866e-01
77,-2.820e-14,1.732e-01
78,-5.707e-14,2.176e-01
79,0.000e+00,1.884e-01
80,-2.875e-14,1.430e-01
81,-2.898e-14,1.923e-01
82,-2.875e-14,1.873e-01
83,-2.853e-14,1.834e-01
84,-2.520e-14,1.870e-01
85,-5.718e-14,1.369e-01
86,-2.875e-14,2.089e-01
87,-2.875e-14,2.015e-01
88,-2.920e-14,2.190e-01
89,-5.895e-14,1.875e-01
90,-2.875e-14,2.102e-01
91,-2.875e-14,1.827e-01
92,-5.718e-14,1.803e-01
93,-2.875e-14,2.111e-01
94,-2.875e-14,1.815e-01
95,-8.560e-14,1.574e-01
96,-2.787e-14,1.809e-01
97,-2.875e-14,1.002e-01
98,-2.875e-14,1.266e-01
99,-2.875e-14,1.106e-01
100,0.000e+00,3.983e-01
101,-2.742e-14,4.889e-01
102,-2.875e-14,2.094e-01
103,-2.875e-14,1.207e-01
104,-2.875e-14,8.600e-02
