multistart,objective value,elapsed time
1,3.374e-09,3.120e+00
2,3.374e-09,1.915e+01
3,3.369e-09,1.821e+01
4,3.374e-09,1.832e+01
5,3.374e-09,1.923e+01
6,3.374e-09,1.856e+01
7,3.374e-09,1.921e+01
8,3.374e-09,1.824e+01
9,3.369e-09,1.917e+01
10,3.369e-09,1.914e+01
11,3.374e-09,1.920e+01
12,3.374e-09,1.917e+01
13,3.374e-09,1.872e+01
14,3.374e-09,1.892e+01
15,3.374e-09,1.918e+01
16,3.374e-09,1.912e+01
17,3.369e-09,1.920e+01
18,3.374e-09,1.918e+01
19,3.374e-09,1.822e+01
20,3.374e-09,1.917e+01
21,3.374e-09,1.836e+01
22,3.374e-09,1.913e+01
23,3.374e-09,1.917e+01
24,3.374e-09,1.916e+01
25,3.333e-09,1.909e+01
26,3.333e-09,1.977e+01
27,3.333e-09,1.967e+01
28,3.333e-09,1.866e+01
29,3.333e-09,1.865e+01
30,3.333e-09,1.868e+01
31,3.333e-09,1.861e+01
32,3.333e-09,1.903e+01
33,3.333e-09,1.860e+01
34,3.333e-09,1.850e+01
35,3.333e-09,1.879e+01
36,3.333e-09,1.960e+01
37,3.333e-09,1.875e+01
38,3.333e-09,1.869e+01
39,3.333e-09,1.868e+01
40,3.333e-09,1.867e+01
41,3.333e-09,1.876e+01
42,3.333e-09,1.932e+01
43,3.333e-09,1.859e+01
44,3.333e-09,1.866e+01
45,3.333e-09,1.863e+01
46,3.333e-09,1.968e+01
47,3.333e-09,1.880e+01
48,3.333e-09,1.866e+01
49,3.333e-09,1.871e+01
50,3.333e-09,1.868e+01
51,3.333e-09,1.871e+01
52,3.333e-09,1.975e+01
53,3.333e-09,1.875e+01
54,3.333e-09,1.861e+01
55,3.333e-09,1.962e+01
56,3.333e-09,1.960e+01
57,3.333e-09,1.869e+01
58,3.333e-09,1.863e+01
59,3.333e-09,1.861e+01
60,3.333e-09,1.961e+01
61,3.333e-09,1.864e+01
62,3.333e-09,1.854e+01
63,3.333e-09,1.959e+01
64,3.333e-09,1.959e+01
65,3.333e-09,1.824e+01
66,3.333e-09,1.964e+01
67,3.333e-09,1.847e+01
68,3.333e-09,1.818e+01
69,3.333e-09,1.963e+01
70,3.333e-09,1.820e+01
71,3.333e-09,1.881e+01
72,3.333e-09,1.961e+01
73,3.374e-09,1.037e+01
74,3.333e-09,6.552e+00
75,3.333e-09,1.885e+01
76,3.333e-09,1.969e+01
77,3.333e-09,1.807e+01
78,3.333e-09,1.975e+01
79,3.333e-09,1.792e+01
80,3.333e-09,1.995e+01
81,3.333e-09,1.878e+01
82,3.333e-09,1.894e+01
83,3.333e-09,1.967e+01
84,3.333e-09,1.785e+01
85,3.333e-09,1.876e+01
86,3.333e-09,1.901e+01
87,3.333e-09,1.872e+01
88,3.333e-09,1.897e+01
89,3.333e-09,1.888e+01
90,3.333e-09,1.884e+01
91,3.374e-09,1.213e+01
92,3.333e-09,5.595e+00
93,3.333e-09,1.888e+01
94,3.333e-09,1.884e+01
95,3.333e-09,1.876e+01
96,3.333e-09,1.893e+01
97,3.333e-09,1.885e+01
98,3.333e-09,1.889e+01
99,3.333e-09,1.882e+01
100,3.333e-09,1.884e+01
101,3.333e-09,1.696e+01
102,3.333e-09,1.901e+01
103,3.333e-09,1.873e+01
104,3.333e-09,1.891e+01
105,3.333e-09,1.882e+01
106,3.333e-09,1.885e+01
107,3.333e-09,1.895e+01
108,3.333e-09,1.879e+01
109,3.333e-09,1.890e+01
110,3.333e-09,1.888e+01
111,3.333e-09,1.885e+01
112,3.333e-09,1.878e+01
113,3.333e-09,1.881e+01
114,3.333e-09,1.915e+01
115,3.333e-09,1.860e+01
116,3.333e-09,1.898e+01
117,3.374e-09,1.892e+01
118,3.374e-09,1.881e+01
119,3.374e-09,2.018e+01
120,3.374e-09,3.757e+01
121,3.374e-09,1.886e+01
122,3.374e-09,1.887e+01
123,3.374e-09,1.889e+01
124,3.374e-09,1.887e+01
125,3.374e-09,1.898e+01
126,3.374e-09,1.875e+01
127,3.374e-09,1.216e+01
128,3.374e-09,6.043e+00
129,3.374e-09,1.887e+01
130,3.374e-09,1.826e+01
131,3.374e-09,1.880e+01
132,3.374e-09,1.902e+01
133,3.374e-09,1.879e+01
134,3.374e-09,1.880e+01
135,3.374e-09,1.887e+01
136,3.374e-09,1.888e+01
137,3.369e-09,1.885e+01
138,3.374e-09,1.891e+01
139,3.369e-09,1.884e+01
140,3.374e-09,1.885e+01
141,3.374e-09,1.884e+01
142,3.374e-09,1.876e+01
143,3.369e-09,1.886e+01
144,3.374e-09,1.976e+01
145,3.374e-09,1.915e+01
146,3.374e-09,1.913e+01
147,3.374e-09,1.747e+01
148,3.374e-09,1.914e+01
149,3.374e-09,1.851e+01
150,3.374e-09,1.909e+01
151,3.333e-09,7.027e+00
152,3.374e-09,1.020e+01
153,3.374e-09,1.897e+01
154,3.374e-09,1.879e+01
155,3.374e-09,1.907e+01
156,3.374e-09,1.910e+01
157,3.374e-09,1.939e+01
158,3.369e-09,1.733e+01
159,3.374e-09,1.914e+01
160,3.374e-09,1.888e+01
161,3.369e-09,1.883e+01
162,3.374e-09,1.892e+01
163,3.374e-09,1.832e+01
164,3.374e-09,1.817e+01
165,3.374e-09,3.277e+00
166,3.374e-09,1.462e+01
167,3.374e-09,1.814e+01
168,3.333e-09,7.893e+00
169,3.369e-09,9.646e+00
170,3.374e-09,1.912e+01
171,3.374e-09,1.903e+01
172,3.374e-09,1.910e+01
173,3.333e-09,5.895e+00
174,3.374e-09,1.192e+01
175,3.374e-09,1.915e+01
176,3.374e-09,1.910e+01
177,3.374e-09,1.837e+01
178,3.374e-09,1.916e+01
