multistart,objective value,elapsed time
1,0.000e+00,1.043e-01
2,0.000e+00,8.978e-02
3,0.000e+00,9.671e-02
4,0.000e+00,1.297e-01
5,0.000e+00,1.115e-01
6,-2.875e-14,7.270e-02
7,0.000e+00,1.004e-01
8,0.000e+00,9.043e-02
9,0.000e+00,9.247e-02
10,0.000e+00,8.394e-02
11,0.000e+00,1.131e-01
12,0.000e+00,1.014e-01
13,4.441e-16,8.976e-02
14,0.000e+00,1.210e-01
15,-2.864e-14,8.422e-02
16,0.000e+00,1.346e-01
17,-2.875e-14,9.211e-02
18,0.000e+00,7.681e-02
19,-2.887e-14,1.074e-01
20,-2.875e-14,1.035e-01
21,0.000e+00,1.336e-01
22,0.000e+00,1.157e-01
23,-5.751e-14,1.091e-01
24,-2.887e-14,7.600e-02
25,-5.751e-14,1.109e-01
26,-2.864e-14,1.125e-01
27,0.000e+00,8.887e-02
28,0.000e+00,1.121e-01
29,-2.874e-14,9.031e-02
30,0.000e+00,1.174e-01
31,-5.757e-14,1.016e-01
32,0.000e+00,1.659e-01
33,0.000e+00,1.177e-01
34,0.000e+00,1.128e-01
35,0.000e+00,9.181e-02
36,0.000e+00,9.962e-02
37,0.000e+00,6.646e-02
38,-5.754e-14,1.046e-01
39,0.000e+00,1.173e-01
40,0.000e+00,9.979e-02
41,-2.875e-14,1.072e-01
42,0.000e+00,9.448e-02
43,2.220e-16,8.410e-02
44,-2.864e-14,1.174e-01
45,0.000e+00,9.037e-02
46,0.000e+00,1.071e-01
47,0.000e+00,9.608e-02
48,-2.875e-14,1.095e-01
49,-2.875e-14,8.346e-02
50,-5.748e-14,1.160e-01
51,-2.864e-14,1.136e-01
52,-2.875e-14,8.917e-02
53,0.000e+00,8.332e-02
54,0.000e+00,9.385e-02
55,0.000e+00,1.196e-01
56,0.000e+00,8.324e-02
57,0.000e+00,1.354e-01
58,0.000e+00,9.954e-02
59,0.000e+00,1.066e-01
60,-2.220e-16,1.186e-01
61,-2.864e-14,1.067e-01
62,-2.875e-14,1.203e-01
63,0.000e+00,1.076e-01
64,-2.887e-14,9.589e-02
65,0.000e+00,1.105e-01
66,-2.875e-14,1.290e-01
67,0.000e+00,8.152e-02
68,0.000e+00,8.850e-02
69,0.000e+00,1.287e-01
70,0.000e+00,1.151e-01
71,-2.887e-14,1.174e-01
72,0.000e+00,9.446e-02
73,0.000e+00,9.445e-02
74,0.000e+00,1.012e-01
75,0.000e+00,7.764e-02
76,-5.750e-14,1.099e-01
77,0.000e+00,1.059e-01
78,-2.875e-14,1.169e-01
79,0.000e+00,9.982e-02
80,0.000e+00,1.219e-01
81,0.000e+00,1.072e-01
82,0.000e+00,9.488e-02
83,0.000e+00,8.374e-02
84,-2.864e-14,1.141e-01
85,-2.875e-14,1.010e-01
86,-2.875e-14,8.173e-02
87,0.000e+00,9.472e-02
88,0.000e+00,8.941e-02
89,-5.750e-14,1.016e-01
90,0.000e+00,9.902e-02
91,0.000e+00,1.049e-01
92,-5.751e-14,1.058e-01
93,0.000e+00,9.547e-02
94,0.000e+00,1.234e-01
95,-5.757e-14,8.361e-02
96,-2.875e-14,1.061e-01
97,0.000e+00,8.212e-02
98,0.000e+00,6.571e-02
99,0.000e+00,8.907e-02
100,0.000e+00,9.395e-02
101,0.000e+00,7.172e-02
102,-2.875e-14,1.152e-01
103,2.220e-16,8.288e-02
104,0.000e+00,1.154e-01
105,0.000e+00,9.279e-02
106,-5.748e-14,1.008e-01
107,-2.875e-14,1.323e-01
108,-2.875e-14,1.049e-01
109,0.000e+00,1.127e-01
110,0.000e+00,8.382e-02
111,-5.750e-14,1.108e-01
112,0.000e+00,1.072e-01
113,0.000e+00,1.387e-01
114,1.735e-18,1.177e-01
115,0.000e+00,9.471e-02
116,-2.875e-14,9.622e-02
117,0.000e+00,6.950e-02
118,0.000e+00,9.775e-02
119,0.000e+00,9.471e-02
120,-2.874e-14,1.147e-01
121,-2.220e-16,8.363e-02
122,-2.875e-14,1.028e-01
123,0.000e+00,1.309e-01
124,0.000e+00,1.474e-01
125,-2.875e-14,1.306e-01
126,0.000e+00,1.212e-01
127,0.000e+00,1.011e-01
128,-2.875e-14,1.011e-01
129,-2.887e-14,9.350e-02
130,0.000e+00,1.004e-01
131,0.000e+00,9.883e-02
132,0.000e+00,9.441e-02
133,0.000e+00,1.272e-01
134,0.000e+00,8.114e-02
135,-2.220e-16,8.408e-02
136,0.000e+00,1.135e-01
137,0.000e+00,8.762e-02
138,0.000e+00,1.141e-01
139,0.000e+00,1.005e-01
140,-2.875e-14,8.880e-02
141,0.000e+00,1.081e-01
142,0.000e+00,1.002e-01
143,-2.875e-14,9.817e-02
144,-2.874e-14,1.149e-01
145,-2.875e-14,8.434e-02
146,0.000e+00,8.298e-02
147,0.000e+00,8.843e-02
148,-2.875e-14,9.833e-02
149,-2.875e-14,7.726e-02
150,0.000e+00,9.572e-02
151,-2.220e-16,7.562e-02
152,0.000e+00,1.208e-01
153,0.000e+00,9.576e-02
154,0.000e+00,1.003e-01
155,0.000e+00,1.236e-01
156,0.000e+00,1.062e-01
157,0.000e+00,1.010e-01
158,0.000e+00,8.977e-02
159,-2.875e-14,1.096e-01
160,0.000e+00,9.411e-02
161,0.000e+00,8.266e-02
162,-2.864e-14,1.009e-01
163,-2.877e-14,1.015e-01
164,0.000e+00,1.031e-01
165,-2.875e-14,9.739e-02
166,0.000e+00,8.994e-02
167,0.000e+00,9.992e-02
168,0.000e+00,1.122e-01
169,0.000e+00,9.361e-02
170,0.000e+00,1.310e-01
171,0.000e+00,1.061e-01
172,0.000e+00,1.160e-01
173,2.220e-16,1.219e-01
174,-2.873e-14,9.558e-02
175,-2.864e-14,8.317e-02
176,0.000e+00,1.141e-01
177,-2.873e-14,1.249e-01
178,0.000e+00,1.141e-01
179,-2.220e-16,9.976e-02
180,0.000e+00,1.089e-01
181,-2.220e-16,1.165e-01
182,-2.220e-16,9.639e-02
183,-2.875e-14,1.090e-01
184,0.000e+00,9.419e-02
185,-2.875e-14,1.054e-01
186,-2.875e-14,9.699e-02
187,0.000e+00,1.079e-01
188,0.000e+00,1.234e-01
189,0.000e+00,1.098e-01
190,2.220e-16,1.063e-01
191,0.000e+00,1.060e-01
192,-2.875e-14,1.170e-01
193,0.000e+00,1.047e-01
194,-2.875e-14,1.048e-01
195,0.000e+00,9.902e-02
