multistart,objective value,elapsed time
1,-5.648e+00,2.144e+01
2,1.089e+01,4.824e+01
3,3.290e+01,1.378e+01
4,5.183e+00,3.372e+01
5,8.758e+00,2.859e+01
6,-6.118e+00,1.912e+01
7,7.687e-01,3.109e+01
8,-4.663e+00,2.507e+01
9,-6.346e+00,2.603e+01
10,6.081e+01,1.339e+01
11,4.657e+01,3.186e+01
12,-4.921e+00,9.559e+00
13,-1.158e+00,2.679e+01
14,6.325e+01,1.153e+01
15,-5.955e+00,2.676e+01
16,-5.007e+00,1.349e+01
17,2.987e+01,1.623e+01
18,6.168e+01,2.578e+01
19,-4.796e+00,2.220e+01
20,-6.671e+00,2.267e+01
21,2.286e+01,1.702e+01
22,-7.347e+00,2.514e+01
23,-6.552e+00,2.640e+01
24,6.192e+00,2.505e+01
25,-7.352e+00,1.968e+01
26,-6.568e+00,1.950e+01
27,-4.826e+00,1.722e+01
28,6.217e+01,2.094e+01
29,-7.827e+00,7.560e+00
30,1.619e+01,2.546e+01
31,-7.150e+00,1.644e+01
32,-6.734e+00,1.611e+01
33,-2.524e+00,2.185e+01
34,3.851e+00,2.121e+01
35,-6.345e+00,2.353e+01
36,8.158e+00,2.393e+01
37,2.884e+01,2.226e+01
38,-3.871e+00,4.343e+01
39,-7.296e+00,2.023e+01
40,-6.388e+00,1.675e+01
41,-5.309e+00,3.716e+01
42,8.535e+00,3.248e+01
43,-2.103e+00,2.292e+01
44,-4.800e+00,1.868e+01
45,-9.121e+00,3.310e+01
46,1.398e+01,1.556e+01
47,-8.469e+00,1.448e+01
48,1.210e+01,4.234e+01
49,-7.288e+00,3.161e+01
50,-9.721e+00,1.984e+01
51,-4.824e+00,2.741e+01
52,-2.580e+00,2.307e+01
53,-9.153e+00,1.846e+01
54,-8.632e+00,2.674e+01
55,5.807e-01,2.432e+01
56,-4.647e+00,2.919e+01
57,2.750e+01,2.613e+01
58,6.239e+01,2.238e+01
59,-4.687e+00,1.558e+01
60,1.112e+01,1.614e+01
61,-7.302e+00,1.169e+01
62,-5.839e+00,1.043e+01
63,-1.613e+00,2.622e+01
64,-7.075e+00,3.080e+01
65,6.337e+01,3.640e+01
66,-6.920e+00,6.617e+00
67,-7.608e+00,1.909e+01
68,5.634e+00,2.435e+01
69,-4.587e+00,1.585e+01
70,-6.980e+00,1.656e+01
71,1.115e+00,2.505e+01
72,-5.953e-01,2.404e+01
73,-3.066e-02,1.934e+01
74,1.706e-01,1.708e+01
75,-5.218e+00,2.136e+01
76,2.780e+01,1.610e+01
77,5.735e+00,3.533e+01
78,-6.304e+00,3.091e+01
79,-6.293e+00,1.869e+01
80,6.372e+01,1.684e+01
81,-5.245e+00,2.216e+01
82,-5.122e+00,1.863e+01
83,2.018e+01,2.485e+01
84,-7.570e+00,2.199e+01
85,2.656e+01,1.300e+01
86,-3.068e-01,2.204e+01
87,2.616e+01,1.319e+01
88,-6.756e+00,2.338e+01
89,8.820e+00,2.200e+01
90,-6.001e+00,1.111e+01
91,1.426e+01,2.885e+01
92,-7.302e+00,1.889e+01
93,-6.925e+00,2.737e+01
94,6.426e+01,1.143e+01
95,2.885e+01,2.063e+01
96,-1.158e+00,2.649e+01
97,2.748e+01,1.922e+01
98,6.115e+01,1.234e+01
99,-5.689e+00,1.934e+01
100,-5.873e+00,3.893e+01
