multistart,objective value,elapsed time
1,2.657e+01,6.297e+00
2,2.904e+01,4.029e+00
3,-1.324e+02,1.601e+00
4,2.795e+01,6.583e+00
5,1.228e+02,9.923e-01
6,2.121e+01,5.751e+00
7,3.368e+01,3.829e+00
8,2.730e+01,5.233e+00
9,3.265e+01,4.056e+00
10,3.093e+01,2.913e+00
11,2.797e+01,2.806e+00
12,2.992e+01,2.891e+00
13,2.688e+01,5.537e+00
14,3.089e+01,5.638e+00
15,2.949e+01,3.205e+00
16,3.262e+01,3.900e+00
17,-1.652e+02,2.255e+00
18,2.390e+01,3.988e+00
19,2.604e+01,5.292e+00
20,3.058e+01,4.512e+00
21,3.086e+01,4.029e+00
22,2.262e+01,4.875e+00
23,2.508e+01,3.925e+00
24,2.731e+01,3.271e+00
25,2.978e+01,3.225e+00
26,2.669e+01,3.354e+00
27,2.921e+01,4.317e+00
28,2.880e+01,5.742e+00
29,2.730e+01,6.021e+00
30,2.681e+01,4.945e+00
31,3.082e+01,3.061e+00
32,2.928e+01,4.159e+00
33,2.511e+01,4.547e+00
34,2.613e+01,8.615e+00
35,2.827e+01,1.124e+01
36,3.090e+01,8.649e+00
37,2.853e+01,5.084e+00
38,4.395e+01,2.164e+00
39,2.758e+01,1.547e+01
40,3.272e+01,1.158e+01
41,3.003e+01,8.153e+00
42,2.820e+01,7.505e+00
43,3.217e+01,9.712e+00
44,2.932e+01,1.777e+01
45,-6.266e+01,2.371e+00
46,2.627e+01,1.011e+01
47,2.970e+01,1.070e+01
48,3.039e+01,1.468e+01
49,2.650e+01,6.684e+00
50,2.869e+01,1.526e+01
51,2.906e+01,1.093e+01
52,2.593e+01,9.514e+00
53,3.119e+01,7.507e+00
54,2.684e+01,1.055e+01
55,2.334e+01,1.353e+01
56,2.799e+01,1.230e+01
57,2.671e+01,9.999e+00
58,2.312e+01,1.205e+01
59,3.112e+01,1.014e+01
60,2.861e+01,9.981e+00
61,2.173e+01,8.887e+00
62,2.418e+01,1.319e+01
63,2.874e+01,1.232e+01
64,3.000e+01,1.280e+01
65,2.823e+01,1.278e+01
66,2.970e+01,1.668e+01
67,2.936e+01,1.250e+01
68,2.826e+01,9.783e+00
69,2.907e+01,1.441e+01
70,3.471e+01,2.472e+01
71,2.719e+01,7.225e+00
72,2.591e+01,1.024e+01
73,2.895e+01,7.202e+00
74,2.882e+01,9.450e+00
75,2.916e+01,1.006e+01
76,2.657e+01,1.103e+01
77,2.812e+01,1.373e+01
78,2.494e+01,1.084e+01
79,2.463e+01,6.385e+00
80,2.783e+01,1.486e+01
81,3.015e+01,1.067e+01
82,2.306e+01,9.378e+00
83,2.468e+01,5.776e+00
84,2.552e+01,1.066e+01
85,2.515e+01,9.750e+00
86,2.819e+01,1.016e+01
87,2.990e+01,1.408e+01
88,2.591e+01,7.829e+00
89,2.757e+01,7.407e+00
90,2.790e+01,8.172e+00
91,2.941e+01,8.560e+00
92,3.007e+01,9.611e+00
93,2.496e+01,6.482e+00
94,2.859e+01,9.563e+00
95,2.554e+01,1.173e+01
96,2.904e+01,1.090e+01
97,2.977e+01,6.000e+00
98,2.668e+01,6.161e+00
99,2.502e+01,6.801e+00
100,2.712e+01,1.060e+01
