multistart,objective value,elapsed time
1,2.607e+01,1.619e+01
2,2.915e+01,1.965e+01
3,3.056e+01,2.019e+01
4,2.776e+01,2.262e+01
5,2.494e+01,1.601e+01
6,2.133e+01,2.212e+01
7,3.377e+01,1.567e+01
8,2.742e+01,1.904e+01
9,3.270e+01,2.155e+01
10,3.136e+01,1.640e+01
11,2.797e+01,2.126e+01
12,2.992e+01,1.866e+01
13,2.689e+01,2.164e+01
14,3.118e+01,2.324e+01
15,2.944e+01,1.552e+01
16,3.273e+01,1.987e+01
17,-1.652e+02,1.522e+01
18,2.347e+01,2.291e+01
19,2.532e+01,2.043e+01
20,3.035e+01,2.086e+01
21,3.391e+01,2.225e+01
22,2.144e+01,1.643e+01
23,2.511e+01,1.680e+01
24,2.731e+01,2.044e+01
25,2.978e+01,1.888e+01
26,2.665e+01,1.909e+01
27,2.931e+01,1.985e+01
28,2.873e+01,2.114e+01
29,2.710e+01,2.110e+01
30,2.643e+01,1.713e+01
31,3.082e+01,1.839e+01
32,2.914e+01,2.023e+01
33,2.470e+01,2.006e+01
34,2.642e+01,1.786e+01
35,2.769e+01,2.248e+01
36,3.090e+01,1.853e+01
37,2.738e+01,1.988e+01
38,3.437e+01,1.958e+01
39,2.745e+01,2.574e+01
40,3.235e+01,1.352e+01
41,3.042e+01,1.909e+01
42,-2.006e+02,1.815e+01
43,3.188e+01,2.032e+01
44,2.923e+01,1.279e+01
45,3.124e+01,1.040e+01
46,2.722e+01,1.669e+01
47,3.039e+01,1.887e+01
48,2.998e+01,1.943e+01
49,2.634e+01,2.173e+01
50,2.884e+01,1.752e+01
51,2.838e+01,1.960e+01
52,2.585e+01,1.982e+01
53,3.117e+01,1.903e+01
54,2.669e+01,2.072e+01
55,2.376e+01,2.042e+01
56,2.851e+01,1.818e+01
57,2.711e+01,2.039e+01
58,2.284e+01,1.838e+01
59,3.025e+01,1.982e+01
60,2.789e+01,2.006e+01
61,2.160e+01,1.967e+01
62,2.403e+01,2.551e+01
63,8.775e+01,1.043e+01
64,2.958e+01,2.465e+01
65,2.902e+01,1.880e+01
66,2.966e+01,2.203e+01
67,2.969e+01,1.511e+01
68,2.855e+01,2.031e+01
69,2.929e+01,2.530e+01
70,3.388e+01,1.590e+01
71,2.719e+01,1.601e+01
72,2.591e+01,2.157e+01
73,2.983e+01,1.802e+01
74,2.840e+01,1.983e+01
75,2.916e+01,2.107e+01
76,2.723e+01,2.106e+01
77,2.792e+01,2.124e+01
78,2.486e+01,1.760e+01
79,2.443e+01,1.694e+01
80,2.797e+01,2.067e+01
81,3.053e+01,2.023e+01
82,2.324e+01,1.971e+01
83,2.468e+01,1.801e+01
84,2.575e+01,1.956e+01
85,2.544e+01,1.079e+01
86,2.838e+01,9.510e+00
87,2.980e+01,2.057e+01
88,2.600e+01,1.828e+01
89,2.757e+01,1.917e+01
90,2.790e+01,2.026e+01
91,2.950e+01,1.885e+01
92,2.950e+01,1.997e+01
93,2.496e+01,1.943e+01
94,2.847e+01,2.004e+01
95,2.582e+01,1.935e+01
96,2.904e+01,2.013e+01
97,2.977e+01,1.802e+01
98,2.672e+01,2.024e+01
99,2.500e+01,2.024e+01
100,2.713e+01,2.046e+01
