multistart,objective value,elapsed time
1,3.501e+01,1.517e+01
2,3.132e+01,2.103e+01
3,-7.079e+00,1.928e+01
4,3.616e+01,2.119e+01
5,-8.375e+00,1.697e+01
6,6.224e+01,1.882e+01
7,3.130e+01,2.234e+01
8,-6.777e+00,1.795e+01
9,6.179e+01,1.807e+01
10,-3.551e+00,2.095e+01
11,6.111e+01,1.905e+01
12,-7.293e+00,2.014e+01
13,6.122e+01,1.787e+01
14,-5.694e+00,2.016e+01
15,6.054e+01,1.972e+01
16,2.280e+01,1.961e+01
17,4.317e+01,1.914e+01
18,6.064e+01,2.000e+01
19,6.146e+01,1.966e+01
20,2.979e+01,1.901e+01
21,-8.331e+00,2.256e+01
22,6.271e+01,1.564e+01
23,4.278e+01,1.909e+01
24,2.857e+01,2.169e+01
25,1.406e+01,1.874e+01
26,-7.380e+00,1.947e+01
27,6.230e+01,1.881e+01
28,2.618e+01,2.101e+01
29,-7.961e+00,1.842e+01
30,6.218e+01,1.864e+01
31,2.926e+01,2.030e+01
32,-8.906e+00,1.957e+01
33,5.922e+01,1.922e+01
34,3.575e+01,1.872e+01
35,3.663e+01,2.036e+01
36,4.780e+01,2.124e+01
37,2.794e+01,1.727e+01
38,3.949e+01,1.986e+01
39,6.199e+01,1.985e+01
40,3.110e+01,2.004e+01
41,6.076e+01,2.060e+01
42,-8.848e+00,1.828e+01
43,3.999e+01,1.952e+01
44,6.173e+01,1.967e+01
45,6.145e+01,1.850e+01
46,-7.302e+00,2.081e+01
47,-5.011e+00,1.871e+01
48,-8.223e+00,1.937e+01
49,-5.592e+00,2.141e+01
50,5.533e+01,1.777e+01
51,6.184e+01,1.969e+01
52,1.132e+01,1.944e+01
53,2.878e+01,2.047e+01
54,6.060e+01,1.780e+01
55,-7.505e+00,2.197e+01
56,-6.953e+00,1.859e+01
57,4.530e+01,1.958e+01
58,-8.981e+00,1.962e+01
59,3.246e+01,2.016e+01
60,3.377e+01,3.831e+01
61,-7.506e+00,2.269e+01
62,6.190e+01,1.720e+01
63,2.909e+01,1.877e+01
64,-7.393e+00,2.037e+01
65,-6.342e+00,1.996e+01
66,-6.841e+00,2.119e+01
67,2.810e+01,1.626e+01
68,3.197e+01,1.839e+01
69,6.144e+01,2.025e+01
70,2.793e+01,1.924e+01
71,5.918e+01,1.928e+01
72,-7.931e+00,2.092e+01
73,3.326e+01,1.881e+01
74,6.120e+01,1.912e+01
75,6.176e+01,1.991e+01
76,6.229e+01,1.666e+01
77,6.030e+01,2.380e+01
78,6.273e+01,1.913e+01
79,3.041e+01,1.898e+01
80,5.559e+01,1.955e+01
81,-8.975e+00,1.927e+01
82,-4.962e+00,1.897e+01
83,4.518e+01,2.013e+01
84,-7.290e+00,2.022e+01
85,-6.989e+00,1.958e+01
86,-8.225e+00,1.897e+01
87,-9.649e+00,1.950e+01
88,-9.103e+00,2.000e+01
89,-6.056e+00,1.921e+01
90,2.963e+01,2.272e+01
91,3.768e+01,1.664e+01
92,6.055e+01,1.986e+01
93,3.678e+01,1.889e+01
94,-9.164e+00,2.086e+01
95,5.966e+01,2.103e+01
96,6.186e+01,1.601e+01
97,-7.356e+00,2.078e+01
98,5.869e+01,1.831e+01
99,-4.259e+00,2.075e+01
100,-6.380e+00,1.872e+01
