multistart,objective value,elapsed time
1,-5.263e+00,1.901e+01
2,2.963e+01,1.893e+01
3,-7.182e+00,2.333e+01
4,2.737e+01,1.640e+01
5,2.644e+01,1.830e+01
6,1.787e+01,2.457e+01
7,6.317e+01,1.536e+01
8,-7.748e+00,2.315e+01
9,-5.990e+00,1.772e+01
10,-8.658e+00,1.832e+01
11,3.064e+01,2.131e+01
12,-7.182e+00,1.799e+01
13,-7.712e+00,2.080e+01
14,6.499e+01,1.681e+01
15,-7.507e+00,2.420e+01
16,-8.461e+00,3.256e+01
17,-5.905e+00,9.908e+00
18,-7.051e+00,1.931e+01
19,3.072e+01,1.896e+01
20,-3.343e+00,1.869e+01
21,-5.874e+00,2.092e+01
22,2.195e+01,3.065e+01
23,2.991e+01,2.861e+01
24,-3.321e+00,3.189e+01
25,-6.285e+00,2.636e+01
26,-7.949e+00,2.218e+01
27,-7.006e+00,1.852e+01
28,6.289e+01,2.230e+01
29,-8.068e+00,4.609e+01
30,4.055e+01,1.963e+01
31,-6.231e+00,1.780e+01
32,-4.725e+00,1.612e+01
33,-4.804e+00,1.597e+01
34,-4.492e+00,1.759e+01
35,-5.555e+00,2.216e+01
36,-6.647e+00,1.914e+01
37,-4.911e+00,1.580e+01
38,-6.684e+00,4.482e+01
39,-6.830e+00,1.869e+01
40,-5.925e+00,1.352e+01
41,6.399e+01,2.550e+01
42,-5.631e+00,2.794e+01
43,-6.049e+00,1.716e+01
44,-7.306e+00,2.997e+01
45,-7.996e+00,2.242e+01
46,6.348e+01,2.425e+01
47,-4.804e+00,1.822e+01
48,-5.996e+00,1.372e+01
49,-4.990e+00,1.344e+01
50,-6.486e+00,1.544e+01
51,-4.646e+00,2.225e+01
52,-4.157e+00,1.280e+01
53,-4.440e+00,5.402e+01
54,-6.789e+00,1.299e+01
55,-5.004e+00,1.980e+01
56,6.280e+01,1.780e+01
57,-7.410e+00,1.225e+01
58,-7.460e+00,2.509e+01
59,-6.131e+00,2.036e+01
60,-4.779e+00,3.606e+01
61,-3.800e+00,2.909e+01
62,-6.886e+00,2.116e+01
63,6.382e+01,1.954e+01
64,-7.154e+00,5.723e+01
65,-6.167e+00,2.430e+01
66,-5.029e+00,2.244e+01
67,-8.220e+00,1.841e+01
68,2.601e+01,2.184e+01
69,-4.687e+00,1.526e+01
70,-6.902e+00,2.232e+01
71,-5.827e+00,1.550e+01
72,-4.804e+00,2.022e+01
73,6.337e+01,1.988e+01
74,6.181e+01,2.656e+01
75,-4.804e+00,3.147e+01
76,2.919e+01,1.781e+01
77,-4.906e+00,2.203e+01
78,-6.377e+00,1.847e+01
79,2.085e+01,2.603e+01
80,-5.763e+00,2.550e+01
81,-4.653e+00,2.666e+01
82,-7.051e+00,2.267e+01
83,-4.796e+00,2.067e+01
84,-6.430e+00,1.959e+01
85,-5.325e+00,1.906e+01
86,-4.720e+00,2.003e+01
87,-1.334e+00,1.990e+01
88,3.169e+01,2.353e+01
89,-9.121e+00,1.724e+01
90,2.928e+01,1.478e+01
91,8.404e+00,1.818e+01
92,-4.175e+00,3.487e+01
93,-4.740e+00,1.133e+01
94,2.892e+01,1.732e+01
95,6.104e+01,4.324e+01
96,-5.586e+00,3.199e+01
97,-5.477e+00,1.135e+01
98,-9.047e+00,2.284e+01
99,-2.492e-01,1.891e+01
100,-5.756e+00,1.595e+01
