multistart,objective value,elapsed time
1,-8.153e+00,2.088e+01
2,-8.291e+00,1.808e+01
3,-7.968e+00,1.920e+01
4,-6.381e+00,1.953e+01
5,-8.182e+00,1.928e+01
6,-6.446e+00,1.939e+01
7,-6.551e+00,2.095e+01
8,-6.924e+00,1.898e+01
9,-6.429e+00,1.939e+01
10,-7.735e+00,1.911e+01
11,-8.474e+00,1.956e+01
12,-7.331e+00,2.131e+01
13,-7.183e+00,2.047e+01
14,-6.168e+00,1.698e+01
15,-7.217e+00,1.908e+01
16,-6.713e+00,1.264e+01
17,-7.763e+00,2.647e+01
18,-7.651e+00,3.966e+01
19,-6.188e+00,2.164e+01
20,3.075e+01,2.069e+01
21,-8.704e+00,1.583e+01
22,-7.743e+00,2.008e+01
23,-7.488e+00,2.153e+01
24,-7.989e+00,1.694e+01
25,-6.505e+00,2.029e+01
26,-6.604e+00,2.036e+01
27,-5.988e+00,4.399e+01
28,-7.018e+00,2.070e+01
29,-7.485e+00,2.044e+01
30,-7.825e+00,1.816e+01
31,-8.120e+00,1.755e+01
32,-8.580e+00,1.989e+01
33,-7.235e+00,2.036e+01
34,-7.504e+00,9.562e+00
35,-6.501e+00,7.967e+00
36,-7.250e+00,1.930e+01
37,-7.504e+00,1.949e+01
38,3.306e+01,1.921e+01
39,-6.947e+00,2.003e+01
40,6.127e+01,1.950e+01
41,-6.808e+00,1.895e+01
42,-7.996e+00,1.981e+01
43,-7.281e+00,2.008e+01
44,-7.818e+00,1.128e+01
45,-7.203e+00,7.766e+00
46,-8.842e+00,1.938e+01
47,-8.177e+00,1.916e+01
48,-7.550e+00,1.967e+01
49,-7.081e+00,1.879e+01
50,-9.188e+00,1.922e+01
51,-6.288e+00,1.969e+01
52,-7.272e+00,1.959e+01
53,-6.132e+00,1.970e+01
54,-9.204e+00,1.978e+01
55,-8.054e+00,1.877e+01
56,-6.263e+00,1.994e+01
57,-7.692e+00,2.020e+01
58,-7.250e+00,1.883e+01
59,-9.258e+00,2.113e+01
60,-7.147e+00,1.798e+01
61,-7.916e+00,2.006e+01
62,-8.125e+00,1.889e+01
63,-8.304e+00,1.933e+01
64,6.266e+01,2.024e+01
65,-7.347e+00,1.106e+01
66,6.227e+01,2.723e+01
67,-7.367e+00,1.986e+01
68,-6.556e+00,1.892e+01
69,-6.558e+00,2.003e+01
70,-7.821e+00,1.997e+01
71,-6.135e+00,1.853e+01
72,-8.016e+00,2.128e+01
73,-9.049e+00,1.952e+01
74,-6.490e+00,1.750e+01
75,-8.297e+00,2.010e+01
76,-5.971e+00,2.011e+01
77,-7.281e+00,1.822e+01
78,-6.617e+00,1.952e+01
79,-9.171e+00,7.203e+00
80,-9.131e+00,1.217e+01
81,-7.638e+00,1.989e+01
82,-7.475e+00,1.866e+01
83,-7.049e+00,1.997e+01
84,-6.664e+00,1.969e+01
85,-6.385e+00,3.888e+01
86,-6.252e+00,1.951e+01
87,-6.554e+00,2.332e+01
88,-6.746e+00,1.848e+01
89,-7.979e+00,1.756e+01
90,-5.620e+00,2.080e+01
91,-8.720e+00,1.697e+01
92,-9.169e+00,2.180e+01
93,-6.626e+00,1.761e+01
94,-7.183e+00,1.955e+01
95,-7.954e+00,1.981e+01
96,-8.339e+00,1.995e+01
97,-6.844e+00,1.933e+01
98,-8.321e+00,1.902e+01
99,-5.539e+00,1.944e+01
100,-7.863e+00,2.011e+01
