multistart,objective value,elapsed time
1,8.700e+01,1.591e+00
2,2.408e+01,1.552e+00
3,-1.324e+02,1.456e+00
4,-2.069e+01,2.099e+00
5,1.228e+02,2.936e+00
6,-4.170e+02,1.368e+00
7,1.718e+01,2.360e+00
8,-2.183e+01,1.991e+00
9,4.330e+00,2.212e+00
10,1.929e+02,1.958e+00
11,-2.870e+01,1.900e+00
12,1.672e+02,1.999e+00
13,-2.042e+02,1.590e+00
14,-3.134e+00,1.719e+00
15,-1.345e+02,2.265e+00
16,-2.219e+01,1.643e+00
17,-1.652e+02,1.252e+00
18,-1.623e+02,2.138e+00
19,-1.119e+02,1.360e+00
20,1.550e+02,1.499e+00
21,-2.392e+02,1.346e+00
22,2.640e+02,1.326e+00
23,-1.391e+02,1.868e+00
24,1.548e+02,1.249e+00
25,-8.579e+01,1.469e+00
26,-2.726e+02,1.541e+00
27,4.636e+02,1.931e+00
28,-6.097e+01,1.960e+00
29,1.503e+01,1.713e+00
30,8.222e+01,7.546e-01
31,1.194e+01,7.273e-01
32,5.941e+01,1.652e+00
33,9.933e+01,1.853e+00
34,4.309e+00,1.408e+00
35,1.644e+01,1.834e+00
36,1.929e+02,1.736e+00
37,-5.692e+01,1.572e+00
38,4.395e+01,1.939e+00
39,8.882e+01,1.934e+00
40,3.466e+02,1.638e+00
41,-2.148e+02,1.498e+00
42,-2.006e+02,9.180e-01
43,-1.766e+02,8.086e-01
44,5.809e+01,9.783e-01
45,-6.266e+01,1.656e+00
46,3.281e+02,1.893e+00
47,1.966e+02,2.180e+00
48,-4.487e+00,1.040e+00
49,1.004e+02,1.566e+00
50,2.410e+02,1.538e+00
51,7.308e+01,1.389e+00
52,-1.097e+01,1.815e+00
53,7.306e+01,2.346e+00
54,-8.632e+01,1.584e+00
55,1.572e+02,2.229e+00
56,2.386e+02,1.326e+00
57,4.946e+01,2.450e+00
58,2.908e+01,1.463e+00
59,-2.285e+02,2.137e+00
60,3.343e+02,2.378e+00
61,5.318e+01,1.713e+00
62,1.364e+02,2.126e+00
63,8.775e+01,1.854e+00
64,2.418e+02,2.148e+00
65,2.131e+02,1.517e+00
66,-3.798e+01,1.326e+00
67,-1.733e+02,8.780e-01
68,1.253e+02,1.707e+00
69,4.357e+02,1.556e+00
70,2.119e+02,1.246e+00
71,1.194e+02,1.255e+00
72,3.936e+02,1.497e+00
73,4.097e+00,1.547e+00
74,7.953e+01,1.850e+00
75,-1.264e+02,2.052e+00
76,4.082e+01,2.900e+00
77,-5.450e+01,1.875e+00
78,-9.334e+01,1.576e+00
79,1.848e+02,2.459e+00
80,-1.730e+01,2.376e+00
81,1.485e+02,1.804e+00
82,-2.733e+02,2.216e+00
83,2.321e+00,1.664e+00
84,1.082e+02,1.107e+00
85,-1.837e+02,1.507e+00
86,2.993e+02,1.622e+00
87,-5.494e+01,3.132e+00
88,3.118e+02,1.420e+00
89,-9.247e+01,1.813e+00
90,6.936e+01,1.303e+00
91,2.347e+02,2.223e+00
92,-7.882e+00,2.394e+00
93,-1.575e+02,1.547e+00
94,6.786e+01,1.661e+00
95,-2.020e+02,1.626e+00
96,1.379e+02,1.919e+00
97,1.100e+02,1.718e+00
98,-4.482e+00,2.014e+00
99,1.186e+02,1.349e+00
100,2.607e+02,2.591e+00
