multistart,objective value,elapsed time
1,2.947e+01,2.247e+01
2,-5.852e+00,1.829e+01
3,-6.713e+00,2.081e+01
4,-6.400e+00,1.913e+01
5,2.540e+01,1.547e+01
6,-6.599e+00,2.410e+01
7,-6.413e+00,2.087e+01
8,-5.768e+00,1.948e+01
9,6.289e+01,2.149e+01
10,6.203e+01,1.918e+01
11,-6.137e+00,1.997e+01
12,6.262e+01,1.829e+01
13,6.200e+01,2.197e+01
14,6.164e+01,1.865e+01
15,6.211e+01,2.025e+01
16,-2.219e+01,2.508e+01
17,2.712e+01,1.367e+01
18,6.129e+01,2.013e+01
19,3.015e+01,2.203e+01
20,6.183e+01,2.079e+01
21,-6.076e+00,1.720e+01
22,6.254e+01,2.046e+01
23,-6.454e+00,2.228e+01
24,1.548e+02,2.160e+01
25,-7.494e+00,1.588e+01
26,6.186e+01,2.001e+01
27,2.923e+01,1.938e+01
28,-1.253e-01,2.045e+01
29,-6.235e+00,2.070e+01
30,6.233e+01,1.795e+01
31,6.236e+01,2.013e+01
32,2.938e+01,1.992e+01
33,-8.709e+00,2.045e+01
34,-6.068e+00,1.928e+01
35,-5.878e+00,2.005e+01
36,-5.691e+00,2.037e+01
37,6.187e+01,1.933e+01
38,6.184e+01,1.972e+01
39,-6.160e+00,2.003e+01
40,3.268e+01,1.958e+01
41,3.012e+01,2.189e+01
42,-1.443e+00,1.982e+01
43,-5.912e+00,1.935e+01
44,6.216e+01,1.977e+01
45,-6.067e+00,2.206e+01
46,6.292e+01,1.834e+01
47,2.919e+01,1.817e+01
48,6.213e+01,2.385e+01
49,1.004e+02,1.962e+01
50,-6.885e+00,1.557e+01
51,4.813e+01,2.008e+01
52,-6.407e+00,2.003e+01
53,-6.617e+00,2.436e+01
54,-7.079e+00,1.579e+01
55,2.002e+01,1.973e+01
56,6.233e+01,2.138e+01
57,6.236e+01,1.853e+01
58,3.050e+01,2.094e+01
59,3.065e+01,1.910e+01
60,2.720e+01,2.022e+01
61,-5.172e+00,1.887e+01
62,6.222e+01,2.128e+01
63,8.775e+01,2.434e+01
64,-1.995e+00,1.509e+01
65,6.231e+01,2.109e+01
66,-2.516e+00,1.936e+01
67,2.328e+01,1.837e+01
68,-6.120e+00,6.024e+00
69,2.869e+01,1.279e+01
70,6.240e+01,2.060e+01
71,3.517e+01,1.002e+01
72,6.211e+01,1.092e+01
73,4.097e+00,2.359e+01
74,3.677e+00,1.695e+01
75,-6.459e+00,1.925e+01
76,2.619e+01,3.779e+01
77,1.093e+01,1.514e+01
78,-6.499e+00,1.945e+01
79,6.222e+01,5.629e+00
80,-6.912e+00,2.245e+01
81,6.190e+01,1.740e+01
82,6.190e+01,1.952e+01
83,2.450e+01,1.881e+01
84,-6.612e+00,2.150e+01
85,6.220e+01,2.126e+01
86,2.993e+02,2.360e+01
87,-5.718e+00,1.440e+01
88,-6.421e+00,2.481e+01
89,6.111e+01,1.493e+01
90,-6.561e+00,1.983e+01
91,3.179e+01,1.907e+01
92,2.731e+01,2.086e+01
93,6.159e+01,2.006e+01
94,6.253e+01,2.318e+01
95,-5.814e+00,1.962e+01
96,-6.220e+00,1.755e+01
97,-5.813e+00,2.092e+01
98,6.207e+01,1.952e+01
99,1.186e+02,2.420e+01
100,6.241e+01,1.378e+01
