multistart,objective value,elapsed time
1,-4.831e+00,2.709e+01
2,-6.577e+00,8.383e+01
3,-6.738e+00,1.213e+02
4,-4.341e+00,8.818e+01
5,8.758e+00,7.021e+01
6,3.353e+00,1.315e+02
7,8.902e+00,1.244e+02
8,-6.886e+00,3.080e+01
9,2.473e+01,8.217e+01
10,6.081e+01,2.165e+01
11,1.883e+01,1.554e+02
12,2.653e+01,4.488e+01
13,1.657e+01,1.086e+02
14,-6.671e+00,3.218e+01
15,-5.945e+00,8.100e+01
16,6.337e+01,4.980e+01
17,-3.701e+00,4.159e+01
18,-2.789e+00,8.256e+01
19,3.157e+01,4.316e+01
20,-5.225e+00,6.671e+01
21,-7.613e+00,6.093e+01
22,-4.831e+00,5.004e+01
23,-3.921e+00,2.425e+02
24,-6.464e+00,6.245e+01
25,-6.391e+00,8.356e+01
26,-7.318e+00,3.299e+01
27,-4.826e+00,3.751e+01
28,-1.906e-01,7.158e+01
29,-7.827e+00,1.799e+01
30,-5.566e+00,2.632e+01
31,3.127e+01,6.597e+01
32,1.066e+01,2.396e+02
33,6.338e+01,2.712e+01
34,1.336e+01,1.445e+02
35,-5.276e+00,1.423e+02
36,1.897e-01,1.180e+02
37,2.884e+01,3.424e+01
38,-7.387e-01,9.319e+01
39,6.225e+01,3.080e+01
40,-6.388e+00,1.773e+01
41,-3.713e+00,1.197e+02
42,6.998e+00,1.352e+02
43,-5.180e+00,6.460e+01
44,-2.423e+00,8.134e+01
45,-6.958e+00,4.674e+01
46,6.384e+01,4.194e+01
47,1.966e+02,2.242e+02
48,1.993e+00,3.276e+02
49,-5.302e+00,1.576e+02
50,-5.590e+00,8.466e+01
51,-9.597e+00,1.114e+02
52,1.195e+01,1.166e+02
53,1.708e+01,1.970e+02
54,-4.301e+00,1.394e+02
55,3.885e+01,1.359e+02
56,-7.211e+00,1.389e+02
57,-3.824e+00,7.749e+01
58,-4.747e+00,1.494e+02
59,-4.788e+00,2.056e+02
60,1.154e+01,1.025e+02
61,-5.264e-01,1.207e+02
62,-5.839e+00,1.864e+01
63,-1.498e+00,9.209e+01
64,-7.075e+00,1.252e+01
65,-5.677e+00,1.198e+02
66,-2.949e+00,1.101e+02
67,3.018e+01,3.633e+01
68,5.634e+00,8.170e+01
69,-4.587e+00,1.641e+01
70,-6.057e+00,1.115e+02
71,1.115e+00,7.641e+01
72,-6.156e+00,7.385e+01
73,-5.327e+00,9.228e+01
74,4.371e+00,1.109e+02
75,-8.305e+00,5.071e+01
76,2.781e+01,4.009e+01
77,-2.068e+00,9.526e+01
78,-4.827e+00,1.894e+02
79,-5.129e+00,5.672e+01
80,4.026e+01,8.227e+01
81,-7.387e-01,1.650e+02
82,-9.204e+00,3.640e+01
83,2.024e+01,1.224e+02
84,-4.342e+00,1.454e+02
85,-7.118e+00,2.765e+01
86,2.621e+01,1.489e+02
87,2.616e+01,1.015e+01
88,-5.314e+00,6.458e+01
89,8.813e+00,9.358e+01
90,-6.001e+00,3.173e+01
91,1.384e+01,6.054e+01
92,-5.103e+00,4.778e+01
93,-6.950e+00,7.889e+01
94,-6.230e+00,3.116e+01
95,-7.619e-01,1.206e+02
96,3.462e+00,1.288e+02
97,-7.861e+00,6.421e+01
98,-6.015e+00,1.591e+01
99,3.202e+01,7.285e+01
100,6.190e+01,1.612e+02
