multistart,objective value,elapsed time
1,-5.473e+00,4.975e+01
2,2.963e+01,2.597e+01
3,-6.001e+00,1.081e+02
4,2.966e+01,4.266e+01
5,2.644e+01,1.922e+01
6,-7.899e+00,5.592e+01
7,6.040e+01,3.401e+01
8,-5.906e+00,7.377e+01
9,3.725e+01,6.195e+01
10,-8.658e+00,3.455e+01
11,-7.150e+00,5.268e+01
12,-7.581e+00,2.351e+01
13,-6.286e+00,3.506e+01
14,6.499e+01,2.024e+01
15,1.017e+01,1.281e+02
16,-6.625e+00,5.078e+01
17,-4.467e+00,5.105e+01
18,2.565e+01,4.884e+01
19,3.931e+01,7.969e+01
20,-7.794e+00,4.975e+01
21,-1.795e-01,5.460e+01
22,-4.805e+00,5.273e+01
23,4.300e+01,6.379e+01
24,-5.203e+00,5.456e+01
25,-6.285e+00,2.047e+01
26,-6.967e+00,4.591e+01
27,-5.717e+00,2.134e+01
28,-4.725e+00,7.345e+01
29,-6.399e+00,4.068e+01
30,-7.933e+00,4.042e+01
31,-4.961e+00,4.229e+01
32,-8.778e+00,6.650e+01
33,5.988e+01,3.514e+01
34,-6.671e+00,1.245e+02
35,-6.151e+00,4.640e+01
36,-7.668e+00,4.486e+01
37,-7.548e+00,2.536e+01
38,-5.713e+00,1.110e+02
39,-6.811e+00,4.332e+01
40,3.317e+01,2.436e+01
41,-5.805e+00,5.229e+01
42,-6.671e+00,4.158e+01
43,-5.773e+00,7.720e+01
44,3.300e+01,6.756e+01
45,-6.309e+00,1.931e+01
46,-7.183e+00,1.085e+02
47,-5.293e+00,1.105e+02
48,-5.849e+00,1.525e+02
49,-5.959e+00,3.348e+01
50,2.066e+01,3.897e+01
51,-4.934e+00,6.643e+01
52,-8.523e+00,5.023e+01
53,-4.831e+00,7.145e+01
54,-5.982e+00,4.195e+01
55,-4.607e+00,6.870e+01
56,-9.140e+00,1.032e+02
57,-9.359e+00,3.385e+01
58,4.794e+01,7.445e+01
59,-9.399e+00,4.117e+01
60,1.535e+00,5.969e+01
61,-4.756e+00,8.408e+01
62,-4.804e+00,5.107e+01
63,-2.773e-01,1.761e+02
64,-7.154e+00,1.501e+01
65,2.669e+01,3.706e+01
66,-5.919e+00,9.903e+01
67,2.813e+01,8.580e+01
68,6.225e+01,1.986e+02
69,-7.254e+00,5.274e+01
70,-5.428e+00,4.191e+01
71,2.779e+01,8.483e+01
72,-7.222e+00,4.419e+01
73,6.377e+01,9.873e+01
74,3.020e+01,4.903e+01
75,-5.441e+00,3.819e+01
76,2.919e+01,2.116e+01
77,-5.515e+00,2.614e+01
78,-4.980e+00,5.471e+01
79,-4.796e+00,3.004e+01
80,-9.673e+00,2.862e+01
81,-7.380e+00,2.885e+01
82,-4.657e+00,5.901e+01
83,-4.804e+00,5.507e+01
84,-6.205e+00,2.042e+01
85,-4.813e+00,5.166e+01
86,-6.685e+00,5.143e+01
87,-6.893e+00,4.099e+01
88,-8.899e+00,6.128e+01
89,-9.247e+01,6.531e+01
90,-6.568e+00,7.797e+01
91,3.108e+01,2.477e+01
92,-4.796e+00,5.169e+01
93,-6.608e+00,4.131e+01
94,-6.008e+00,4.119e+01
95,-6.425e+00,5.560e+01
96,-8.877e+00,4.755e+01
97,-5.318e+00,4.142e+01
98,1.663e+01,7.938e+01
99,-4.796e+00,9.432e+01
100,-4.492e+00,3.576e+01
