multistart,objective value,elapsed time
1,-7.434e+00,2.946e+00
2,-9.042e+00,2.815e+00
3,-7.806e+00,2.436e+00
4,-8.384e+00,2.712e+00
5,-6.388e+00,2.426e+00
6,-7.560e+00,4.444e+00
7,-7.681e+00,3.726e+00
8,-8.082e+00,3.666e+00
9,4.330e+00,1.433e+01
10,-7.058e+00,2.721e+00
11,-7.741e+00,2.371e+00
12,-7.539e+00,2.387e+00
13,-8.443e+00,4.243e+00
14,-8.451e+00,2.659e+00
15,-9.331e+00,3.367e+00
16,-2.219e+01,1.094e+01
17,-8.102e+00,2.811e+00
18,-7.542e+00,3.017e+00
19,-6.416e+00,4.768e+00
20,-8.771e+00,2.594e+00
21,-7.372e+00,2.560e+00
22,-7.829e+00,2.771e+00
23,-8.391e+00,5.479e+00
24,-7.989e+00,4.086e+00
25,-5.781e+00,2.376e+00
26,-7.661e+00,4.317e+00
27,-7.664e+00,4.151e+00
28,-7.435e+00,2.501e+00
29,-9.672e+00,3.250e+00
30,-8.873e+00,1.815e+00
31,-8.354e+00,2.025e+00
32,-6.273e+00,2.099e+00
33,-9.352e+00,1.849e+00
34,-9.668e+00,2.423e+00
35,-7.763e+00,4.374e+00
36,-7.325e+00,2.231e+00
37,-6.485e+00,5.927e+00
38,-7.941e+00,6.368e+00
39,-7.185e+00,2.738e+00
40,-7.001e+00,2.829e+00
41,-7.381e+00,4.587e+00
42,-5.216e+00,3.172e+00
43,-6.720e+00,1.770e+00
44,-7.321e+00,2.773e+00
45,-7.046e+00,3.050e+00
46,-7.464e+00,2.155e+00
47,-5.329e+00,3.590e+00
48,-7.680e+00,2.653e+00
49,-8.900e+00,2.113e+00
50,-6.931e+00,4.222e+00
51,-8.120e+00,2.485e+00
52,-6.949e+00,2.606e+00
53,-7.633e+00,2.660e+00
54,-7.840e+00,5.522e+00
55,-7.120e+00,3.562e+00
56,-6.460e+00,3.367e+00
57,-8.881e+00,3.488e+00
58,-7.219e+00,2.071e+00
59,-9.376e+00,4.090e+00
60,-7.150e+00,2.257e+00
61,-7.843e+00,3.621e+00
62,-8.451e+00,2.446e+00
63,-7.932e+00,3.380e+00
64,-6.260e+00,2.672e+00
65,-8.155e+00,2.391e+00
66,-7.329e+00,3.180e+00
67,-5.626e+00,2.231e+00
68,-7.545e+00,3.857e+00
69,-7.754e+00,2.034e+00
70,-7.772e+00,2.545e+00
71,-7.824e+00,5.828e+00
72,-7.338e+00,5.274e+00
73,-8.353e+00,4.960e+00
74,-7.192e+00,4.461e+00
75,-6.978e+00,2.780e+00
76,-8.884e+00,2.803e+00
77,-7.101e+00,2.348e+00
78,-6.927e+00,2.794e+00
79,-9.328e+00,2.068e+00
80,-6.900e+00,2.362e+00
81,-8.732e+00,2.543e+00
82,-6.560e+00,4.279e+00
83,-7.287e+00,5.638e+00
84,-7.343e+00,2.394e+00
85,-7.678e+00,6.713e+00
86,-7.288e+00,2.403e+00
87,-8.031e+00,2.138e+00
88,-6.934e+00,4.004e+00
89,-7.272e+00,8.208e+00
90,-5.302e+00,4.911e+00
91,-7.364e+00,1.932e+00
92,-8.043e+00,2.370e+00
93,-6.441e+00,4.738e+00
94,-8.013e+00,2.501e+00
95,-7.199e+00,2.382e+00
96,-7.419e+00,2.094e+00
97,-8.975e+00,2.309e+00
98,-8.812e+00,2.177e+00
99,-6.465e+00,5.187e+00
100,-7.504e+00,2.134e+00
