multistart,objective value,elapsed time
1,-8.302e+00,2.092e+01
2,-9.495e+00,1.773e+01
3,-6.907e+00,1.883e+01
4,-6.953e+00,1.922e+01
5,-8.559e+00,1.964e+01
6,-7.560e+00,1.997e+01
7,-6.677e+00,1.886e+01
8,-8.135e+00,2.000e+01
9,-7.413e+00,2.025e+01
10,-7.747e+00,1.808e+01
11,-9.212e+00,2.109e+01
12,-7.022e+00,2.066e+01
13,-7.324e+00,1.878e+01
14,-7.564e+00,1.803e+01
15,-7.680e+00,2.031e+01
16,-7.625e+00,1.988e+01
17,-8.002e+00,1.910e+01
18,-7.242e+00,1.897e+01
19,-7.067e+00,2.238e+01
20,-2.276e-01,2.175e+01
21,-7.826e+00,1.416e+01
22,-6.510e+00,1.997e+01
23,-7.326e+00,1.892e+01
24,-7.987e+00,2.083e+01
25,-7.245e+00,1.969e+01
26,-6.441e+00,1.867e+01
27,-7.664e+00,1.963e+01
28,-7.008e+00,1.878e+01
29,-7.590e+00,1.906e+01
30,-6.467e+00,2.007e+01
31,-7.976e+00,1.985e+01
32,-6.005e+00,1.880e+01
33,-6.757e+00,2.096e+01
34,-8.946e+00,2.008e+01
35,-7.326e+00,1.889e+01
36,-7.143e+00,1.806e+01
37,-6.784e+00,2.717e+01
38,-7.145e+00,1.206e+01
39,-6.026e+00,1.991e+01
40,-7.784e+00,1.916e+01
41,-7.561e+00,1.990e+01
42,-5.571e+00,1.865e+01
43,-6.683e+00,2.093e+01
44,-6.489e+00,1.955e+01
45,-6.553e+00,3.989e+01
46,-7.384e+00,1.978e+01
47,-6.924e+00,1.942e+01
48,-6.233e+00,1.875e+01
49,-7.303e+00,1.984e+01
50,-6.753e+00,1.867e+01
51,-7.207e+00,2.074e+01
52,-7.013e+00,1.877e+01
53,-6.125e+00,1.983e+01
54,-6.282e+00,1.991e+01
55,-6.936e+00,1.936e+01
56,-6.248e+00,2.044e+01
57,-6.294e+00,1.961e+01
58,-6.114e+00,2.012e+01
59,-7.787e+00,1.861e+01
60,-8.801e+00,1.990e+01
61,-7.745e+00,1.981e+01
62,-7.817e+00,2.020e+01
63,-8.274e+00,1.552e+01
64,-8.209e+00,2.321e+01
65,-7.347e+00,1.936e+01
66,-5.618e+00,1.966e+01
67,-6.905e+00,2.023e+01
68,-7.615e+00,1.877e+01
69,-6.170e+00,2.012e+01
70,-7.640e+00,2.020e+01
71,-6.308e+00,1.895e+01
72,-7.631e+00,2.021e+01
73,-7.185e+00,1.866e+01
74,-5.639e+00,1.929e+01
75,-7.676e+00,2.447e+01
76,-7.728e+00,1.298e+01
77,-6.330e+00,2.217e+01
78,-7.698e+00,2.212e+01
79,-8.756e+00,1.675e+01
80,-6.227e+00,1.944e+01
81,-7.310e+00,1.926e+01
82,-6.943e+00,2.181e+01
83,-5.707e+00,1.725e+01
84,-7.356e+00,1.075e+01
85,-6.159e+00,2.694e+01
86,-7.907e+00,2.155e+01
87,-8.666e+00,1.002e+01
88,-7.350e+00,9.047e+00
89,-6.057e+00,1.761e+01
90,-7.176e+00,2.168e+01
91,-8.283e+00,2.020e+01
92,-7.882e+00,3.455e+01
93,-7.232e+00,2.489e+01
94,-7.481e+00,1.791e+01
95,-7.316e+00,2.038e+01
96,-7.182e+00,2.070e+01
97,-7.127e+00,1.919e+01
98,-7.757e+00,2.032e+01
99,-6.539e+00,1.820e+01
100,-6.902e+00,2.102e+01
