multistart,objective value,elapsed time
1,8.700e+01,1.537e+01
2,2.408e+01,2.023e+01
3,-1.324e+02,1.917e+01
4,-2.069e+01,1.966e+01
5,1.228e+02,2.068e+01
6,-4.170e+02,1.877e+01
7,1.718e+01,2.169e+01
8,-2.183e+01,1.830e+01
9,4.330e+00,1.802e+01
10,1.929e+02,2.164e+01
11,-2.870e+01,1.839e+01
12,1.672e+02,1.894e+01
13,-2.042e+02,1.912e+01
14,-3.134e+00,1.938e+01
15,-1.345e+02,1.943e+01
16,-2.219e+01,1.906e+01
17,-1.652e+02,1.986e+01
18,-1.623e+02,2.108e+01
19,-1.119e+02,1.787e+01
20,1.550e+02,1.872e+01
21,-2.392e+02,1.870e+01
22,2.640e+02,2.143e+01
23,-1.391e+02,1.835e+01
24,1.548e+02,2.017e+01
25,-8.579e+01,1.942e+01
26,-2.726e+02,1.956e+01
27,4.636e+02,2.038e+01
28,-6.097e+01,1.902e+01
29,1.503e+01,1.977e+01
30,8.222e+01,1.900e+01
31,1.194e+01,1.888e+01
32,5.941e+01,2.064e+01
33,9.933e+01,2.114e+01
34,4.309e+00,1.863e+01
35,1.644e+01,1.982e+01
36,1.929e+02,1.702e+01
37,-5.692e+01,1.971e+01
38,4.395e+01,2.167e+01
39,8.882e+01,1.897e+01
40,3.466e+02,1.955e+01
41,-2.148e+02,1.858e+01
42,-2.006e+02,2.228e+01
43,-1.766e+02,1.805e+01
44,5.809e+01,2.182e+01
45,-6.266e+01,1.736e+01
46,3.281e+02,2.144e+01
47,1.966e+02,1.773e+01
48,-4.487e+00,1.961e+01
49,1.004e+02,1.895e+01
50,2.410e+02,1.945e+01
51,7.308e+01,1.923e+01
52,-1.097e+01,1.175e+01
53,7.306e+01,2.898e+01
54,-8.632e+01,1.813e+01
55,1.572e+02,2.012e+01
56,2.386e+02,1.893e+01
57,4.946e+01,2.043e+01
58,2.908e+01,2.036e+01
59,-2.285e+02,2.090e+01
60,3.343e+02,1.939e+01
61,5.318e+01,1.683e+01
62,1.364e+02,1.093e+01
63,8.775e+01,9.345e+00
64,2.418e+02,1.200e+01
65,2.131e+02,2.649e+01
66,-3.798e+01,1.911e+01
67,-1.733e+02,2.005e+01
68,1.253e+02,1.908e+01
69,4.357e+02,1.895e+01
70,2.119e+02,9.813e+00
71,1.194e+02,8.308e+00
72,3.936e+02,2.072e+01
73,4.097e+00,1.844e+01
74,7.953e+01,2.075e+01
75,-1.264e+02,9.453e+00
76,4.082e+01,1.052e+01
77,-5.450e+01,1.937e+01
78,-9.334e+01,1.925e+01
79,1.848e+02,2.250e+01
80,-1.730e+01,1.403e+01
81,1.485e+02,2.139e+01
82,-2.733e+02,2.350e+01
83,2.321e+00,1.549e+01
84,1.082e+02,1.860e+01
85,-1.837e+02,2.084e+01
86,2.993e+02,1.921e+01
87,-5.494e+01,1.344e+01
88,3.118e+02,2.560e+01
89,-9.247e+01,1.902e+01
90,6.936e+01,1.915e+01
91,2.347e+02,2.359e+01
92,-7.882e+00,2.010e+01
93,-1.575e+02,1.458e+01
94,6.786e+01,1.985e+01
95,-2.020e+02,2.045e+01
96,1.379e+02,2.111e+01
97,1.100e+02,1.889e+01
98,-4.482e+00,1.921e+01
99,1.186e+02,1.888e+01
100,2.607e+02,2.212e+01
