multistart,objective value,elapsed time
1,0.000e+00,5.118e+00
2,0.000e+00,2.044e+01
3,0.000e+00,1.979e+01
4,0.000e+00,1.905e+01
5,0.000e+00,2.058e+01
6,0.000e+00,1.984e+01
7,0.000e+00,1.918e+01
8,0.000e+00,4.773e+00
9,0.000e+00,1.555e+01
10,0.000e+00,1.980e+01
11,0.000e+00,1.993e+01
12,0.000e+00,1.901e+01
13,0.000e+00,2.061e+01
14,0.000e+00,1.966e+01
15,0.000e+00,1.966e+01
16,0.000e+00,1.967e+01
17,0.000e+00,1.961e+01
18,0.000e+00,2.035e+01
19,0.000e+00,2.063e+01
20,0.000e+00,2.009e+01
21,0.000e+00,1.923e+01
22,0.000e+00,1.941e+01
23,0.000e+00,1.981e+01
24,0.000e+00,2.032e+01
25,0.000e+00,1.940e+01
26,0.000e+00,1.969e+01
27,0.000e+00,1.011e+01
28,0.000e+00,1.061e+01
29,0.000e+00,1.123e+01
30,0.000e+00,7.593e+00
31,0.000e+00,7.466e+00
32,0.000e+00,1.263e+01
33,0.000e+00,1.935e+01
34,0.000e+00,2.064e+01
35,0.000e+00,1.902e+01
36,0.000e+00,1.973e+01
37,0.000e+00,1.992e+01
38,0.000e+00,2.063e+01
39,0.000e+00,1.965e+01
40,0.000e+00,1.940e+01
41,0.000e+00,1.964e+01
42,0.000e+00,1.970e+01
43,0.000e+00,2.075e+01
44,0.000e+00,1.992e+01
45,0.000e+00,2.062e+01
46,0.000e+00,8.767e+00
47,0.000e+00,1.009e+01
48,0.000e+00,1.990e+01
49,0.000e+00,2.059e+01
50,0.000e+00,2.065e+01
51,0.000e+00,1.915e+01
52,0.000e+00,1.983e+01
53,0.000e+00,2.030e+01
54,0.000e+00,1.940e+01
55,0.000e+00,2.064e+01
56,0.000e+00,1.338e+01
57,0.000e+00,5.545e+00
58,0.000e+00,1.968e+01
59,0.000e+00,2.062e+01
60,0.000e+00,1.899e+01
61,0.000e+00,1.987e+01
62,0.000e+00,1.994e+01
63,0.000e+00,1.958e+01
64,0.000e+00,1.980e+01
65,0.000e+00,2.067e+01
66,0.000e+00,1.898e+01
67,0.000e+00,2.070e+01
68,0.000e+00,2.053e+01
69,0.000e+00,1.970e+01
70,0.000e+00,1.968e+01
71,0.000e+00,1.959e+01
72,0.000e+00,1.974e+01
73,0.000e+00,1.982e+01
74,0.000e+00,1.984e+01
75,0.000e+00,1.981e+01
76,0.000e+00,1.980e+01
77,0.000e+00,1.983e+01
78,0.000e+00,1.984e+01
79,0.000e+00,1.980e+01
80,0.000e+00,1.980e+01
81,0.000e+00,1.988e+01
82,0.000e+00,1.976e+01
83,0.000e+00,1.987e+01
84,0.000e+00,1.979e+01
85,0.000e+00,1.985e+01
86,0.000e+00,1.996e+01
87,0.000e+00,1.936e+01
88,0.000e+00,2.070e+01
89,0.000e+00,1.937e+01
90,0.000e+00,1.995e+01
91,0.000e+00,1.979e+01
92,0.000e+00,1.971e+01
93,0.000e+00,1.972e+01
94,0.000e+00,1.986e+01
95,0.000e+00,1.979e+01
96,0.000e+00,1.983e+01
97,0.000e+00,1.991e+01
98,0.000e+00,1.640e+01
99,0.000e+00,2.319e+01
100,0.000e+00,1.983e+01
