multistart,objective value,elapsed time
1,6.220e+01,2.519e+00
2,-5.867e+00,3.441e+00
3,-8.709e+00,1.381e+00
4,-5.784e+00,2.223e+00
5,2.540e+01,1.540e+00
6,1.920e+00,3.666e+00
7,-6.413e+00,2.357e+00
8,2.618e+01,2.646e+00
9,4.330e+00,7.282e+00
10,-5.734e+00,4.434e+00
11,-5.945e+00,1.991e+00
12,6.213e+01,2.691e+00
13,6.218e+01,2.300e+00
14,6.144e+01,2.693e+00
15,-6.312e+00,4.013e+00
16,-5.678e+00,2.601e+00
17,2.712e+01,1.616e+00
18,-6.261e+00,2.576e+00
19,-6.718e+00,2.972e+00
20,-7.084e+00,2.189e+00
21,-6.556e+00,3.899e+00
22,-5.490e+00,2.490e+00
23,1.043e+01,2.135e+00
24,-6.339e+00,2.368e+00
25,-5.667e+00,8.182e+00
26,-6.538e+00,5.658e+00
27,4.636e+02,8.769e+00
28,-5.227e+00,6.486e+00
29,-5.599e+00,4.634e+00
30,6.197e+01,8.794e+00
31,6.214e+01,4.286e+00
32,2.938e+01,1.732e+00
33,9.933e+01,3.703e+00
34,-6.328e+00,2.942e+00
35,1.644e+01,7.855e+00
36,1.929e+02,8.386e+00
37,6.189e+01,2.396e+00
38,6.225e+01,3.565e+00
39,-5.628e+00,2.850e+00
40,3.268e+01,1.831e+00
41,-6.223e+00,2.292e+00
42,-6.163e+00,1.979e+00
43,-5.914e+00,3.283e+00
44,-5.850e+00,4.360e+00
45,-6.274e+00,3.338e+00
46,-5.643e+00,2.213e+00
47,2.975e+01,2.726e+00
48,1.637e+01,2.599e+00
49,-6.613e+00,3.378e+00
50,-5.802e+00,2.578e+00
51,1.462e+00,2.576e+00
52,2.541e+01,4.762e+00
53,-6.442e+00,2.267e+00
54,6.267e+01,3.836e+00
55,6.216e+01,2.588e+00
56,2.386e+02,1.242e+00
57,6.209e+01,2.177e+00
58,6.205e+01,1.954e+00
59,-2.285e+02,7.733e+00
60,6.248e+01,2.958e+00
61,-2.940e+00,1.792e+00
62,-3.358e+00,7.814e+00
63,3.911e+00,2.935e+00
64,2.815e+01,3.685e+00
65,2.131e+02,8.707e+00
66,6.152e+01,2.987e+00
67,-6.890e+00,3.443e+00
68,1.253e+02,1.292e+00
69,2.877e+01,1.472e+00
70,-7.063e+00,2.766e+00
71,6.233e+01,3.452e+00
72,-6.402e+00,5.149e+00
73,6.214e+01,9.511e+00
74,6.295e+01,3.312e+00
75,-6.494e+00,3.529e+00
76,2.619e+01,1.508e+00
77,-5.591e+00,2.856e+00
78,-5.859e+00,2.222e+00
79,-6.287e+00,5.280e+00
80,-6.393e+00,3.533e+00
81,6.200e+01,1.105e+00
82,6.246e+01,1.022e+00
83,-5.624e+00,1.695e+00
84,-6.247e+00,1.871e+00
85,-6.051e+00,1.996e+00
86,2.763e+01,8.667e-01
87,6.220e+01,2.778e+00
88,3.118e+02,5.416e-01
89,6.262e+01,1.910e+00
90,-6.958e+00,9.754e-01
91,3.179e+01,7.091e-01
92,-6.146e+00,1.593e+00
93,6.181e+01,1.295e+00
94,1.725e+01,8.157e-01
95,9.847e-01,1.179e+00
96,1.451e+01,2.140e+00
97,6.214e+01,8.756e-01
98,-5.764e+00,1.326e+00
99,6.243e+01,1.737e+00
100,2.696e+01,1.147e+00
